PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-06-17,11:34:34,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,77.18152,0.002176400369,-1.899347524,1979.064037,197.3473193,12:30:00,6.30253,1.67457,4.79887,-36.75898,11.96071,3.75094,3.24135,0.18701,70.71351,-6.75062069,-1.207440366,0.5023699425,-2.47304,6.20426,-1.48873,50,6.27166,3.59253,-112.11305,-1.22428,-3.14816,20.23629,-24.27607,b4a0a9e0-de72-406d-957e-6b63dbd1c51a,be28c475-6040-404f-afc8-b6ede90badfa,75.02925,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.7484984,44.05878328,1422.208315,0.718626729,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-06-17,11:34:44,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,82.43524,2.011854797,1.909171415,2033.943059,195.0890036,12:30:00,6.16419,1.95532,NA,-32.01278,14.49699,3.91758,5.47994,4.16291,74.67222,-3.681680233,2.606155915,0.4908439998,-1.34068,6.412,-2.22278,50,6.3927,-4.15131,-119.21941,2.74151,-1.92344,23.59856,-22.9749,a84f4311-a0df-4ee7-8b4c-15e9c342c9a6,be28c475-6040-404f-afc8-b6ede90badfa,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.469339,56.27005983,1129.406057,0.555279093,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-06-17,11:34:56,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,83.66301,-0.7520004373,-3.403227146,2051.048151,226.4423991,01:30:00,6.01373,1.72737,NA,-32.57399,10.30653,10.88592,2.57672,-0.63316,76.0175,-6.682823017,-1.414513796,0.4713043308,-6.53194,5.45463,-1.35996,50,5.89666,6.77903,-121.17278,-2.87042,-9.65398,24.98962,-24.11228,d1b93b39-3037-48e9-ae81-67ce4eac1170,be28c475-6040-404f-afc8-b6ede90badfa,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.6422073,47.47720629,1386.269524,0.6758834617,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-06-17,11:35:12,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,84.7802,0.09693052372,-2.651699346,2123.313179,228.9301058,01:45:00,6.01391,1.719,5.22616,-28.84052,11.13249,12.82808,3.70175,0.29373,77.02718,-5.268080309,-0.2605728149,0.4550454914,-7.54761,5.84328,-1.4842,50,6.00174,5.26162,-123.113,-0.78125,-11.5177,25.74715,-23.25717,48138641-baf4-44fd-b83a-548d5f89896e,be28c475-6040-404f-afc8-b6ede90badfa,82.83224,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.9131084,48.0740562,1418.733136,0.6681695148,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-06-17,11:35:22,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,84.95403,-0.7130414084,-2.146017984,1926.908937,223.3230858,01:30:00,5.8685600000000004,1.91554,4.88699,-27.95401,12.55113,11.87118,2.8641,0.87398,76.85432,-5.890171289,0.06016378101,0.4580642718,-6.86083,6.77151,-1.71493,50,5.77589,4.19243,-123.27804,-2.54111,-10.4421,27.02174,-21.8679,5630c9fe-e46a-42e9-88fd-5936d2ffcc72,be28c475-6040-404f-afc8-b6ede90badfa,82.28635,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.5874347,46.1383431,1335.19272,0.6929194706,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-06-17,11:35:35,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,84.79141,1.15600465,0.8743493536,2029.149324,206.1697745,12:45:00,6.01439,1.74786,4.83066,-33.23843,7.36539,3.63517,4.33938,2.87875,76.86317,-4.993978666,1.548261324,0.4586219204,-1.62846,3.48498,-1.83739,50,6.10113,-2.0109,-123.11629,1.27799,-2.47925,26.29013,-26.86836,cf756273-4464-4821-b6e0-b649c43b6fc8,be28c475-6040-404f-afc8-b6ede90badfa,82.1863,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.0857148,55.93898617,1136.476664,0.5600754219,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-06-17,11:35:58,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,87.91151,0.100215376,-0.6252103787,2092.61592,211.5573879,01:00:00,6.17795,1.50906,NA,-28.01261,12.54173,7.72418,3.94172,1.54041,79.33957,-4.921705222,0.7629321532,0.4583424355,-3.96214,6.09338,-1.43747,50,6.15272,1.02848,-127.26099,-1.08385,-6.43763,28.37094,-22.27361,652717d4-e0a2-4a3b-9c65-815db017b461,be28c475-6040-404f-afc8-b6ede90badfa,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.4706642,48.0162488,1399.79228,0.6689198272,01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-06-17,11:36:11,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,88.25715,-1.677656419,-2.402997068,1916.164045,261.9400878,02:45:00,6.10577,1.64022,NA,-36.23985,3.12619,22.12644,1.47526,1.17858,78.62367,-8.336224922,1.697798213,0.4515775063,-12.19834,2.21682,-1.39565,50,5.8832,4.46008,-127.60563,-5.20639,-19.49919,33.72238,-28.63043,edd2ebe6-ec29-4347-b444-00c30eb56ff7,be28c475-6040-404f-afc8-b6ede90badfa,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.7983577,47.25749321,1300.509551,0.6787047042,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-06-17,11:36:24,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,88.09857,-0.774699683,-0.7457298202,2004.558392,243.2615904,02:00:00,5.96044,1.43549,5.16635,-28.79185,8.78205,17.48802,2.83201,2.19105,79.09764,-6.153365214,2.537590872,0.4411787141,-9.49611,4.90515,-1.37897,50,5.86711,1.0432,-127.87552,-2.75208,-15.38663,31.64268,-24.22619,8accb911-34d4-4708-8475-d7a7d1bff58c,be28c475-6040-404f-afc8-b6ede90badfa,85.43576,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-06-17,11:37:29,"Duffield, Joe",1000340965,Right,NA,NA,NA,Warmup,NA,88.86618,-1.169138329,-2.814493498,2167.206954,221.7274513,01:30:00,6.12311,1.41287,NA,-24.96325,12.94781,11.57661,2.9212,-0.3211,80.58388,-5.725649326,-0.6953201976,0.4431536727,-6.72439,6.9338,-1.11429,50,5.96899,5.85166,-128.77077,-3.66389,-11.21825,28.34534,-20.60644,a568b475-0d78-4ee0-a3db-89bd557f8325,be28c475-6040-404f-afc8-b6ede90badfa,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.487939,46.23627947,1499.026751,0.6916860193,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
