PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-09-30,15:50:21,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,NA,Warmup,NA,70.24666,-3.345551999,1.927367658,1814.22266,152.258387,11:00:00,6.60756,-1.63978,4.75936,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64567,10.62718,1.4548,50,6.23668,-3.13246,-101.71961,-7.20328,5.82143,19.15119,-21.21603,dc8f0b80-de75-411d-8aae-0524f43023f9,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.819109566,1807.809193,0.9964648952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-09-30,15:50:38,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,NA,Warmup,NA,76.13586,-2.559955588,3.219620001,2053.967709,154.6594862,11:15:00,6.57136,-1.85474,4.68723,-29.29656,21.73782,-10.30812,1.69418,0.34608,69.0026,-7.94220934,1.312264191,0.5141653633,6.34814,12.06779,1.53677,50,6.28572,-5.86034,-110.23869,-5.90516,7.72087,21.72768,-17.49672,18461d1a-97e5-4470-b229-2d4ffa1e23c3,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,73.30801,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.6150656,1.651424149,2053.114598,0.9995846522,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-09-30,15:51:08,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,NA,Warmup,NA,79.05963,-0.3271584974,2.756876803,2099.481412,133.3358402,10:30:00,6.37005,-2.41965,4.50187,-32.40407,15.05307,-16.00948,3.35769,-1.12554,71.57428,-6.283280965,-0.1959941781,0.4958178869,9.0873,7.84933,2.14559,50,6.30601,-4.95414,-114.6134,-1.79865,11.9681,23.14076,-21.83638,464cfe73-e949-435b-928b-b4c9c83eb7f5,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,76.02073,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.449128731,2098.809941,0.9996801727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-09-30,15:51:25,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,NA,Warmup,NA,80.53889,-2.337922775,3.98568343,2162.498991,159.7903433,11:15:00,6.2722,-2.29712,5.13045,-18.72003,26.52687,-9.78427,2.50417,0.64664,72.10972,-5.83247297,2.155538923,0.4841342718,6.50817,14.7869,1.93039,50,6.03852,-7.80167,-116.54699,-5.37982,8.77087,26.02778,-12.24618,c6b99776-f45e-4d36-a925-35f527be0f82,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,77.85534,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.345118658,2160.687861,0.9991624828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-09-30,15:51:56,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,NA,Warmup,NA,80.63214,-1.681519173,1.509820818,2133.206738,160.0118891,11:15:00,6.29565,-2.21353,5.06137,-27.24197,17.42222,-6.34831,2.43908,-1.31871,73.08245,-6.732059699,0.3261824599,0.4810067084,3.80179,9.67028,2.0751,50,6.115,-2.87349,-117.04165,-4.34441,5.21534,24.36902,-18.90824,92640d56-fcf3-4fe4-8b94-7501d0a7fef9,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,78.36157,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.617922972,2132.356296,0.9996013318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-09-30,15:53:41,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,81.49027,-4.148107674,1.346870501,2188.693728,147.8071292,11:00:00,6.36986,-1.90622,4.78979,-24.99976,19.2711,-12.11409,0.34793,-1.63922,74.21179,-8.721672431,-0.8984087265,0.4788840362,6.70394,11.27349,1.78219,50,5.93466,-2.35071,-118.00666,-9.43542,9.37354,24.22482,-16.4113,53728078-ba06-4063-b6bd-59b54aa04d29,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,78.70891,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3768521567,2188.646386,0.9999783696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-09-30,15:53:59,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,81.79319,-2.829428247,3.00579106,2266.069869,147.2919691,11:00:00,6.32036,-1.9599,5.1898,-25.07409,19.0065,-12.21092,1.56367,-0.14764,72.84211,-7.522772744,0.7044329315,0.4778538561,7.5683,11.10682,1.69,50,6.03941,-5.81787,-118.36897,-6.67461,10.42298,28.76337,-16.87784,3ad07927-7c49-401f-b467-d84330bb9188,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,78.87859,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.688088871,2265.086408,0.9995660058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-09-30,15:54:24,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,82.49884,-5.077970815,2.368756829,2300.497529,121.2605816,10:00:00,6.24909,-1.99597,5.22256,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.02967,7.90361,1.79185,50,5.7573,-4.2919,-119.27456,-11.6321,15.66026,26.02359,-20.95226,e7e0f874-d457-4579-b2de-387230d519b2,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.42671073,2155.840834,0.9371193868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-09-30,15:54:50,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,82.33831,0.06756270349,1.658426266,2262.425663,150.0431213,11:00:00,6.3143,-2.45269,4.9636,-25.17198,18.08622,-10.44931,4.28048,-1.75657,73.83518,-4.626749582,-0.2940187521,0.4733753127,6.02968,9.46066,2.30069,50,6.30094,-3.10076,-119.46814,-0.72199,8.55321,26.98679,-18.75394,d2665bde-59c6-4931-a513-1694bafb352f,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,79.62485,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1615936195,2262.416665,0.9999960228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-09-30,15:55:16,"Pascanu, Tommy",1000364645,Left,NA,NA,NA,NA,NA,Fastball,Live,NA,84.153,-1.294136148,2.04968979,2274.375907,142.0507425,10:45:00,6.38298,-1.6356,4.8903,-25.17697,16.34458,-12.77036,3.05988,-0.76032,75.67368,-5.969730257,-0.3315291898,0.4637758617,7.34969,8.97034,1.44522,50,6.23581,-3.91529,-122.03923,-3.65062,10.89321,27.87905,-18.87881,3da98b81-db68-4156-b1fb-831d824c3720,6ccfaef1-7f77-44e2-b043-6dac0b1fc8e9,81.27296,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.027541731,2274.010165,0.9998391904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
