PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-05-13,11:26:15,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,66.58315,3.47862485,-0.4841565158,1745.997119,246.6735012,02:15:00,6.07621,2.57453,NA,-60.58746,11.08717,25.83401,4.44367,4.25245,59.96572,-7.371263124,4.16249207,0.6093321823,-12.7624,4.27314,-2.54607,50,6.45503,-0.10029,-96.11846,3.70296,-11.74196,17.19763,-28.24258,10b0b18b-ef58-4110-b93c-fd6f46f473ec,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.14911037,1373.062346,0.7864058483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-13,11:26:26,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,73.14372,0.281447009,-3.243331198,1810.19032,259.1714182,02:45:00,5.96604,2.69731,3.65982,-52.96812,4.25922,22.58547,1.82472,1.4388,66.65775,-9.264478586,0.8589273545,0.5444690051,-12.27198,2.0435,-2.33596,50,5.93826,5.18271,-105.85069,-1.39189,-13.80379,19.51574,-29.87547,a576855e-4208-4150-9fcf-b05108228000,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,69.22789,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-13,11:26:48,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,76.41409,0.6043485238,-3.477773573,1830.665929,238.2816691,02:00:00,5.89364,2.42897,4.81717,-39.16137,11.02342,17.95404,3.20365,0.62729,69.32538,-6.626869441,-0.1526520986,0.5098676399,-10.39126,5.55215,-2.09868,50,5.92098,6.14459,-110.77371,-0.1108,-12.80545,21.30715,-25.33198,67e2f3e2-c570-423b-ab38-edd97f262460,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,73.92593,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.8485149,19.66289145,1723.917369,0.9416886726,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-13,11:27:05,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,77.59398,0.6386436569,-2.782882292,1873.521758,238.1157201,02:00:00,5.95483,2.57687,4.40984,-36.46538,12.72053,20.55568,3.5262,1.6323,70.60225,-6.037481144,0.9917903642,0.5047679088,-11.33858,6.33179,-2.30039,50,5.98821,4.74559,-112.52143,-0.0285,-14.47681,21.20387,-24.08979,b324eee4-f219-496b-958d-ec5d119dad08,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,74.67281,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5183061,36.07785052,1514.213251,0.8082175959,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-13,11:27:46,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,77.64329,1.043325924,-3.211177214,1921.208683,249.2330091,02:15:00,5.85666,2.26538,6.17285,-38.25045,7.94878,21.14989,3.6342,1.05944,70.39369,-6.205202586,0.8081367777,0.4892026299,-12.54719,4.01886,-2.03343,50,5.91613,5.76685,-112.81616,1.04025,-15.99649,22.58814,-27.05037,cdab1be7-8f23-44c5-91e8-153dbfc9f975,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,77.04873,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250.5142831,13.31424228,1869.56978,0.9731216582,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-13,11:27:57,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,77.57316,-0.1295084182,-4.872242767,1871.956694,257.0952381,02:30:00,5.81026,2.5488,4.27193,-45.57543,4.21122,18.61296,1.88797,-0.57225,70.66763,-8.427311674,-1.46890103,0.5078411017,-10.93493,2.18654,-2.03636,50,5.75124,8.89837,-112.18059,-1.88073,-13.85288,21.40333,-29.40404,fdcc70b9-9e53-4236-815d-fa3679547348,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,74.22093,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.730791,23.1837237,1720.79097,0.9192472112,02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-13,11:28:30,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,72.76483,1.052758852,-2.547581349,1773.297956,260.7564288,02:45:00,5.68691,2.70351,5.32879,-49.97471,3.69359,23.10547,2.51111,2.23732,67.05276,-8.188462231,1.751114426,0.5272666727,-12.89843,1.66535,-2.48991,50,5.74648,4.03014,-105.73899,0.48611,-14.63665,17.64246,-30.28427,4625d4ee-f23f-4d78-99d7-7683f6fa019d,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,71.48648,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.690399233,1772.526247,0.9995648171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-13,11:28:49,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,71.07718,1.33491642,-2.799122557,1592.406151,258.3461964,02:30:00,5.82354,2.4935,5.80546,-50.30381,5.23639,25.77924,2.87454,2.03693,65.15851,-8.075254784,2.051443737,0.5363831531,-14.68075,2.43265,-2.27933,50,5.90318,4.37417,-103.28902,1.09086,-15.80299,17.77889,-29.55544,aee72357-edb9-4040-9aea-44c69035ff5f,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,70.27148,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244.4718133,8.444707087,1575.141355,0.9891580453,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-13,11:29:54,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,ChangeUp,Live,NA,73.36326,0.7117195186,-4.256885052,1779.177937,250.0901668,02:15:00,5.76705,2.46276,5.58172,-45.96289,6.90171,19.27806,2.60326,0.08704,66.89099,-7.866948402,-0.6446420835,0.5233038146,-11.56209,3.47572,-2.10919,50,5.79868,7.38016,-106.40449,0.03818,-13.17189,19.33295,-28.21441,7ec7cac9-eb5d-4562-8560-8c78d3b7f0a4,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,72.02783,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.8145675,13.59396873,1729.335597,0.9719857475,02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-13,11:30:50,"Wade, Konner",1000299019,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,79.56088,-0.04857012733,-3.726547735,1952.207836,235.3579238,01:45:00,5.85304,2.32303,4.69801,-32.34193,13.89801,20.21162,3.11168,0.46517,72.53072,-5.991364199,-0.004305934419,0.4894180954,-11.5055,7.20117,-1.96284,50,5.81993,6.80939,-115.35372,-1.2243,-15.48005,21.75072,-22.48525,eaadce1e-a3f7-48f7-8e76-1949170bf01f,ae0c1585-21ca-42c1-8eb5-0aabe56f95b8,77.0148,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.4579761,24.81305513,1771.98368,0.9076818807,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
