PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-03-21,10:22:48,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,78.22089,1.051534819,-6.420636489,1921.956832,258.8848425,02:45:00,3.98142,3.47737,NA,-47.30063,3.70436,19.3924,1.0527,-1.07828,68.48102,-7.724987575,-2.821182611,0.5140173136,-12.58347,1.47896,-2.79161,50,4.05143,11.97405,-112.41656,0.42637,-15.4244,28.36185,-30.36119,f28dd83c-962f-41a4-9b01-e1aa5690d023,b956245e-2965-404c-afa4-957ff9b52ed9,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.73135071,1685.331786,0.876883267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-03-21,10:23:27,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,81.40129,1.080722993,-2.819234222,1724.976098,222.042163,01:30:00,4.47966,3.29313,4.16293,-36.43743,9.0465699999999991,8.20718,2.47107,1.29715,71.97189,-5.723877178,-1.283671609,0.4854010928,-5.33702,4.3048400000000004,-3.01273,50,4.55864,5.51407,-117.77998,0.95494,-7.24783,29.2886,-26.32795,657855e8-a3e4-48a1-b847-b006d6cbb50d,b956245e-2965-404c-afa4-957ff9b52ed9,77.65215,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.225006984,1717.808386,0.9958447468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-03-21,10:25:03,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.32042,2.890485877,-2.042726887,1777.763744,240.5225266,02:00:00,4.60401,3.10602,4.02973,-38.36205,6.42662,11.46471,4.16341,2.11563,72.48066,-4.271478649,0.1004558912,0.4816765013,-6.72084,2.23518,-2.90331,50,4.8714,3.83405,-119.00576,4.63874,-9.30917,30.09661,-29.07806,5355e4f3-bdb6-46d2-93b5-28a87cfac9f7,b956245e-2965-404c-afa4-957ff9b52ed9,78.2526,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.9677611,37.22399758,1415.591705,0.7962766198,02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-03-21,10:25:27,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,81.38312,-0.6904992094,-5.874426922,1603.898773,247.3040141,02:15:00,4.42682,3.12278,NA,-40.83445,4.20436,10.1653,0.37002,-1.58348,72.3619,-8.321072371,-3.970390834,0.4830196743,-7.57851,2.48292,-2.57567,50,4.3311,11.7482,-117.40611,-2.7544400000000002,-10.23641,28.91181,-28.82033,89f76184-73ee-4f02-8f80-b1c7c8fce748,b956245e-2965-404c-afa4-957ff9b52ed9,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-03-21,10:26:59,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.00836,1.675912296,-0.4949743736,1853.944129,223.2873176,01:30:00,4.58596,2.98619,4.01283,-35.07685,9.98427,9.43849,3.2596,3.30129,72.33147,-4.871115681,1.270116125,0.4831393254,-5.082,4.53647,-2.94293,50,4.72969,0.68785,-118.71398,2.21838,-6.99926,30.10715,-25.92611,03def8e1-e153-4978-9d95-30a54ff648b1,b956245e-2965-404c-afa4-957ff9b52ed9,78.01567,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.47140254,1322.974897,0.7136001981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-03-21,10:27:27,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,80.77306,2.788246663,-3.737329912,1610.204263,225.1151069,01:30:00,4.5599,2.77616,4.46849,-40.26937,5.50256,5.58612,3.84527,-0.29319,71.36539,-4.766796464,-2.689245336,0.48693501300000003,-4.33397,1.85395,-2.41919,50,4.79845,7.44008,-116.73177,4.36359,-5.78897,28.51081,-29.69769,32cb29f7-4bdd-4ec9-b338-688133ebd90c,b956245e-2965-404c-afa4-957ff9b52ed9,77.40753,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.489545448,1599.886871,0.9935924949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-03-21,10:28:42,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.97995,3.04983569,-1.764561357,1836.159296,236.4609458,02:00:00,4.66627,2.77586,3.97933,-33.25821,10.92544,16.56307,4.80544,2.47392,72.94739,-3.157683559,1.33025282,0.4784121203,-9.24816,4.49436,-2.60538,50,4.95708,3.09355,-119.94369,5.18568,-13.00608,30.67571,-25.85344,e5b3deca-e7a5-47a1-a2dd-7c2299c37e29,b956245e-2965-404c-afa4-957ff9b52ed9,78.78655,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.6399017,34.07789896,1520.847653,0.8282765316,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-03-21,10:29:01,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,81.78304,3.115563629,-5.698694597,1906.643217,222.8414884,01:30:00,4.59044,3.06314,4.48448,-31.96361,12.84064,12.04465,4.88606,-1.33167,72.09076,-2.868858053,-3.448455767,0.4817602667,-8.4283,5.61134,-2.52212,50,4.86728,11.35764,-117.84886,5.37822,-11.50153,28.58232,-24.51663,e6645564-f2ed-4411-b11a-5a76efe0707e,b956245e-2965-404c-afa4-957ff9b52ed9,78.23899,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.06379569999999,18.43212924,1808.830244,0.9486988588,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-03-21,10:30:14,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.6335,1.342188263,-3.264093275,1859.147354,227.6111475,01:30:00,4.58479,3.21589,4.10335,-37.28153,7.11245,7.85481,2.75653,0.76341,72.82738,-5.621864886,-1.794881492,0.4795495203,-5.34226,3.18278,-2.88644,50,4.69067,6.53369,-119.46029,1.47814,-7.44309,30.69213,-27.73966,806c8fd8-c080-49de-9804-dd3f31d3b29c,b956245e-2965-404c-afa4-957ff9b52ed9,78.59968,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.2793244,44.23487465,1332.053286,0.7164861262,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-03-21,10:30:33,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,80.74753,4.42743772,-2.550634747,1840.359073,236.737313,02:00:00,4.09368,3.33687,4.19776,-39.92179,6.37296,9.80645,4.98199,1.73139,71.12,-3.030435624,-0.716316348,0.4897080484,-6.0524,1.68306,-3.08675,50,4.50942,4.85529,-116.56434,7.66139,-8.07099,28.18816,-29.92966,3c218f4e-4e9e-4115-933b-b5f8329cd2d8,b956245e-2965-404c-afa4-957ff9b52ed9,76.9692,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.6708709,25.61534108,1659.482698,0.9017168021,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-03-21,10:31:55,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.11995,-0.2095900876,-5.673580327,1813.009795,227.780877,01:30:00,4.72105,2.6704,4.27049,-34.68517,10.26273,11.40318,1.63096,-1.77518,72.40155,-6.688100197,-3.543846762,0.4825319663,-8.16205,5.45117,-2.11063,50,4.67127,11.36993,-118.39759,-1.62938,-11.16579,30.23034,-24.71678,f1d147bf-de64-48ed-870c-deda8ca52db5,b956245e-2965-404c-afa4-957ff9b52ed9,78.11387,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0245575,1537.107578,0.84782089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-03-21,10:32:15,"Lamere, Nolan",1000310235,Right,NA,NA,NA,NA,NA,Fastball,Live,NA,82.0227,2.255300481,-2.079890806,1898.922852,230.605504,01:45:00,4.5829,2.59351,4.19422,-35.3087,9.17957,11.24102,3.78392,1.55502,72.79865,-4.330780395,0.0194434683,0.4800585103,-6.5957,3.9714,-2.39227,50,4.78153,3.91724,-118.74409,3.43828,-9.16302,28.45713,-26.65681,7a196060-2661-415f-98e5-42b4d3952c92,b956245e-2965-404c-afa4-957ff9b52ed9,78.51634,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1461357945,1898.916675,0.9999967473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
