PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-09-17,12:47:23,"Lile, Chase",1000323089,Left,NA,NA,Fastball,Live,NA,83.05873,-1.048885273,-3.416316855,2261.402561,193.8355227,12:30:00,5.49554,1.76462,5.03682,-24.17653,18.56303,4.58665,2.48958,-1.07948,74.154,-5.565042417,-2.55787508,0.4705290625,-3.60738,10.13879,-1.44209,50,5.3768,7.0251,-120.29203,-3.02825,-5.15844,28.57176,-17.67589,ea9bcebf-045c-49e3-b1c0-f8c9ea113971,2356b1d6-5ef9-41de-a87c-58946c5e98dd,80.10651,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.03308235,2124.576361,0.9394949831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-09-17,12:47:44,"Lile, Chase",1000323089,Left,NA,NA,Fastball,Live,NA,82.02996,-1.284919057,-2.649539549,2222.702176,206.44652489999999,01:00:00,5.38095,1.42214,5.27003,-23.91227,19.22964,9.58594,2.17997,-0.26925,73.68176,-5.75928745,-0.8502599254,0.4727386253,-5.95986,10.6181,-1.18701,50,5.24649,5.19341,-118.9821,-3.45145,-8.3865,26.74312,-17.23263,931efc23-3f86-48e9-b1fb-d8b8f8afc429,2356b1d6-5ef9-41de-a87c-58946c5e98dd,79.73209,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.1877988,-0.1198984992,2222.697309,0.9999978105,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-09-17,12:48:12,"Lile, Chase",1000323089,Left,NA,NA,Fastball,Live,NA,82.93157,-1.322112055,-1.722849223,2182.837216,207.1627434,01:00:00,5.47481,1.56274,5.56313,-23.60835,18.20486,9.35737,2.27172,0.73275,74.31617,-5.770200265,0.04710333665,0.4654019097,-5.60506,10.21004,-1.42028,50,5.34573,3.32759,-120.39693,-3.52109,-8.04692,28.14956,-17.51597,a72f2198-ad0c-4086-acc1-82fdbd0c2ba5,2356b1d6-5ef9-41de-a87c-58946c5e98dd,80.98901,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4109456913,2182.781071,0.9999742788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-09-17,12:48:38,"Lile, Chase",1000323089,Left,NA,NA,ChangeUp,Live,NA,76.35287,1.821097321,0.5307991157,1566.11652,250.3172791,02:15:00,4.95651,1.74251,5.02689,-45.5762,5.83826,16.41988,2.87724,3.61163,67.12329,-6.776637582,3.640098598,0.5160764445,-8.4693,2.34081,-1.80564,50,5.09599,-1.52966,-110.5539,2.11227,-10.01741,27.82598,-29.40536,c1c1327f-ff56-40dc-bb03-e818ea2aaca6,2356b1d6-5ef9-41de-a87c-58946c5e98dd,73.03654,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.54752474,1522.540818,0.9721759516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-09-17,12:49:04,"Lile, Chase",1000323089,Left,NA,NA,ChangeUp,Live,NA,74.79172,4.021005092,-0.9146670053,1686.572479,243.3628411,02:00:00,5.19854,1.97712,5.1587,-49.33787,3.29522,6.65659,4.87809,1.67093,66.50517,-5.246631142,0.3385856902,0.5221566969,-3.84616,0.31234,-1.89676,50,5.53766,1.52869,-108.25646,6.13107,-4.44457,23.51782,-31.81312,34b722f0-aa1a-41cc-bc8b-11018d24adc6,2356b1d6-5ef9-41de-a87c-58946c5e98dd,72.18607,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230.8686373,62.82134986,770.3697679,0.4567664762,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-09-17,12:49:38,"Lile, Chase",1000323089,Left,NA,NA,ChangeUp,Live,NA,74.86025,0.1794446998,-1.334190921,1631.343554,239.7590436,02:00:00,4.83872,1.89401,5.8436,-43.83616,7.42527,12.8153,1.35249,1.72202,66.72961,-8.149990832,1.117168432,0.5153078858,-7.46214,3.96352,-1.7929,50,4.82832,2.1888,-108.69758,-0.83202,-8.62658,25.03647,-27.59204,656c507b-be0f-4ea6-b310-94848d043941,2356b1d6-5ef9-41de-a87c-58946c5e98dd,73.14547,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228.6953441,48.39756065,1083.143684,0.6639580493,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-09-17,12:50:00,"Lile, Chase",1000323089,Left,NA,NA,ChangeUp,Live,NA,75.44864,1.61712478,-0.8567777163,1645.412285,229.2043997,01:45:00,5.12842,1.59328,5.58429,-40.54884,10.19619,11.86568,3.25985,1.78205,67.27273,-6.057461486,1.396012399,0.5127057109,-6.68377,4.89363,-1.52729,50,5.24155,1.30177,-109.51141,1.94402,-7.88827,24.4095,-26.39852,4376941a-42d0-4c91-afb7-e4e1e6a8ac86,2356b1d6-5ef9-41de-a87c-58946c5e98dd,73.51671,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.69438496,1336.306303,0.8121407106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-09-17,12:52:30,"Lile, Chase",1000323089,Left,NA,NA,Fastball,Live,NA,82.51076,-1.050200429,-3.403748495,2237.878829,206.1178899,12:45:00,5.3391,1.48219,5.94908,-21.99777,19.331,9.50464,2.53022,-0.88592,74.57589,-5.20529792,-1.605791148,0.4626980116,-6.21664,10.80675,-1.21689,50,5.2433,6.84601,-119.8093,-2.84784,-8.92866,25.71412,-16.65284,9287c697-853f-425d-ad46-b2fe81372810,2356b1d6-5ef9-41de-a87c-58946c5e98dd,81.46229,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.9178099,14.66898707,2164.93509,0.9674049646,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-09-17,12:53:09,"Lile, Chase",1000323089,Left,NA,NA,Cutter,Live,NA,77.68693,0.5147563244,-1.542212295,2293.001227,139.3969948,10:45:00,4.83679,1.88673,5.17406,-43.11176,4.35971,-3.77149,1.72865,0.12106,71.24056,-7.456315319,-2.242989338,0.4958927151,1.54667,2.14716,-1.74055,50,4.85244,3.15999,-112.91274,-0.3571,1.99305,20.91519,-29.40721,35bbfafd-1c83-499d-a169-3a61a553d85a,2356b1d6-5ef9-41de-a87c-58946c5e98dd,76.00926,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.97969954,671.185569,0.2927105145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-09-17,12:53:38,"Lile, Chase",1000323089,Left,NA,NA,Cutter,Live,NA,76.78067,-0.08635973764,-1.407293995,2392.895572,137.0859386,10:30:00,4.93982,1.76191,5.29534,-42.41234,5.57962,-5.22642,1.32436,0.005,71.08001,-7.902171774,-2.376408458,0.4986038888,2.39045,2.96334,-1.63031,50,4.90136,2.90675,-111.70208,-1.48774,3.04039,18.86387,-28.405,c70a12ed-db63-47a7-8901-5b42e6e0c39a,2356b1d6-5ef9-41de-a87c-58946c5e98dd,75.59596,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2735842,567.8007299,0.2372860465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
