PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2024-07-31,11:32:46,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,69.93682,4.074258293,-1.601461932,1815.363133,202.7019595,12:45:00,6.11143,2.08473,5.72007,-42.36474,15.62369,6.54782,6.38346,1.13849,63.18104,-3.895338462,-0.3678551971,0.5480776312,-4.00262,7.15599,-1.95513,50,6.42607,2.66544,-101.4336,6.12508,-4.13416,17.92677,-24.78288,83e7c863-c55e-4fcc-8021-f92fea907220,3bdca069-c5d5-479c-8c63-fd89187d26e8,68.77208,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.26315009,1385.274845,0.7630841562,NA
2,2024-07-31,11:32:53,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,74.3426,2.495859157,-3.18319947,1921.417396,194.8197211,12:30:00,5.95326,1.45656,5.91443,-41.04843,9.72676,2.5879,4.85364,-1.28467,67.56581,-5.231961286,-2.69565711,0.5128580993,-2.34176,4.51833,-1.20308,50,6.13011,5.93273,-107.92344,3.61093,-2.74483,19.86873,-26.87801,dcd3cdba-f2c3-4b59-9dd4-2eeed1f03ace,3bdca069-c5d5-479c-8c63-fd89187d26e8,73.49487,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.7970819,41.32672819,1442.900238,0.7509561644,01:15:00
3,2024-07-31,11:33:00,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,76.23003,1.269360607,-0.7971091251,1960.380084,203.0416217,12:45:00,5.95691,1.38712,6.46882,-30.6612,16.47218,7.02275,4.56774,1.24033,69.21702,-4.576160629,0.5440593956,0.4941237511,-4.1158,8.70581,-1.33419,50,6.03252,1.37078,-110.99122,1.70232,-5.09163,21.40288,-21.40415,495727ac-5fbc-41dc-8020-2db2be187c9f,3bdca069-c5d5-479c-8c63-fd89187d26e8,76.28137,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.6808736,39.56035448,1511.363104,0.7709541206,01:15:00
4,2024-07-31,11:33:07,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,76.46074,0.9545638476,-3.47135352,1979.393297,200.2721321,12:45:00,5.9683,1.30879,6.21961,-31.80898,15.40512,5.71638,4.19995,-1.42152,69.78236,-5.055890476,-2.390591791,0.4945466291,-4.11035,8.14004,-1.05209,50,6.02377,6.59241,-111.14044,1.02356,-5.12945,20.34305,-22.0158,1af747ce-9548-4da2-bf1a-0243decc08a7,3bdca069-c5d5-479c-8c63-fd89187d26e8,76.21615,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.2105284,39.01130171,1538.031765,0.7770218116,01:30:00
5,2024-07-31,11:33:15,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,78.69425,2.461425386,-1.885008836,2004.549787,197.9401544,12:30:00,6.15676,1.2924,5.84476,-29.23444,16.08611,5.22076,6.01028,-0.02466,71.35957,-3.046031641,-0.9009909053,0.484528129,-3.36946,7.94858,-1.14227,50,6.33987,3.61317,-114.34978,4.07678,-4.43648,22.18532,-21.70835,709ec063-9c13-4efe-a68e-825eab7ab05d,3bdca069-c5d5-479c-8c63-fd89187d26e8,77.79206,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.89333905,1603.147623,0.7997544553,NA
6,2024-07-31,11:33:25,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,68.3482,-1.934248873,-3.142198455,1544.777566,206.0688103,12:45:00,5.93204,1.30645,5.91584,-47.55814,13.06623,6.41718,0.17063999999999999,-1.07744,62.31055,-10.83438471,-1.925680328,0.5603959961,-4.51219,7.71999,-1.05847,50,5.75033,5.28843,-99.18829,-4.51601,-4.41733,18.42839,-24.61635,3a716ab3-456e-40d9-bfb2-8c3876167a25,3bdca069-c5d5-479c-8c63-fd89187d26e8,67.26036,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.1248774,43.35453913,1123.238055,0.7271196062,01:15:00
7,2024-07-31,11:33:40,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,70.62314,1.645753691,-3.820491046,1501.27573,221.6676446,01:30:00,5.88857,1.87446,5.67166,-47.79356,9.6332,8.64613,3.44376,-0.97173,63.66689,-7.346204836,-2.18934892,0.5454168796,-5.91167,4.63269,-1.55745,50,5.99807,6.60958,-102.38136,1.69137,-6.16198,19.7349,-27.34521,ceba87de-c1f0-4561-a1f6-22073aa157df,3bdca069-c5d5-479c-8c63-fd89187d26e8,69.10758,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.6039634,47.43338,1015.533481,0.6764470113,01:30:00
8,2024-07-31,11:33:59,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,68.78909,3.236828149,-3.069717327,2001.722836,104.9881142,09:30:00,5.75892,2.19835,4.69272,-61.75792,1.03201,-4.00438,3.69276,-1.05213,62.23002,-8.152093984,-3.810786211,0.5703171169,1.08427,-0.5141,-1.88354,50,6.03446,5.45629,-99.52313,3.80015,1.07051,18.29949,-32.68162,71a015f8-1124-4de7-ab48-be1a928ac4ef,3bdca069-c5d5-479c-8c63-fd89187d26e8,66.09032,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.74961181,593.6069945,0.2965480454,NA
9,2024-07-31,11:34:10,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,70.37545,2.501138658,-2.138175932,2111.834053,114.6086754,09:45:00,5.74787,2.15031,4.96639,-55.5956,3.39817,-7.49809,3.48037,-0.49497,63.94025,-7.788058465,-3.531355665,0.552808205,3.25672,0.9964,-1.9378,50,5.94557,4.03037,-102.04088,2.82452,3.39302,18.64947,-31.13595,c9802077-8bc0-41a4-8077-8dea5a72ecf7,3bdca069-c5d5-479c-8c63-fd89187d26e8,68.18357,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-07-31,11:34:28,"Darnell, Noah",1000346670,Right,NA,NA,NA,Warmup,NA,66.88768,2.912912254,-1.201357773,2009.849645,84.97091403,08:45:00,6.10285,1.77977,4.72984,-66.70045,-0.38923,-3.83704,3.31074,0.32021,60.5207,-9.410388027,-1.915144353,0.5860907948,1.59552,-1.17365,-1.65553,50,6.33972,2.14229,-96.8994,3.01541,1.48841,17.80163,-33.26892,ce00fcd9-fd93-4b61-939b-7f571c583380,3bdca069-c5d5-479c-8c63-fd89187d26e8,64.3116,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
