PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-12-19,10:09:13,"Saucedo, Taylor",1000305685,Left,NA,NA,Fastball,Live,NA,87.19471,0.1809715929,4.240704229,2213.241016,138.7803959,10:45:00,5.53593,-2.14297,6.11659,-23.3086,13.45035,-11.84467,3.7613,0.79734,78.82304,-4.235144849,1.998035514,0.4363680797,7.75866,7.27524,1.82421,50,5.53767,-9.0269,-126.56132,-0.30283,12.45966,28.21801,-20.49072,1148c800-9d45-4a0a-9663-582a189678e6,8ab15510-cbcd-4105-8206-e6683bb9a568,86.37763,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.9005733,-37.7648665,1749.63496,0.7905306955,10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-12-19,10:09:32,"Saucedo, Taylor",1000305685,Left,NA,NA,Fastball,Live,NA,86.62895,-1.730751877,5.018186008,2213.661403,129.6734043,10:15:00,5.37402,-2.45462,6.24155,-24.84219,12.29436,-14.86281,1.70104,0.94666,78.57826,-6.432282932,2.202291939,0.4386035416,9.66213,7.25678,2.08815,50,5.23261,-10.59219,-125.58116,-4.53614,15.29373,27.52598,-20.68763,68c74b71-f938-4043-8b5b-93c4b2d17b16,8ab15510-cbcd-4105-8206-e6683bb9a568,85.93738,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.3126019,-34.11100456,1832.806802,0.8279526397,10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-12-19,10:09:49,"Saucedo, Taylor",1000305685,Left,NA,NA,Fastball,Live,NA,87.0562,0.03418485669,5.39478665,2335.488413,138.0224129,10:30:00,5.43462,-2.52585,6.29361,-23.91896,12.68074,-11.48774,3.47301,1.50197,79.01815,-4.49676266,3.223321558,0.4354218464,7.88489,6.93827,2.1343,50,5.42555,-11.58445,-126.21979,-0.62239,12.64985,27.01532,-21.04286,bf335b0b-8138-4961-9ab7-367b3ba6bb17,8ab15510-cbcd-4105-8206-e6683bb9a568,86.56534,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.0700668,-39.96268096,1790.065348,0.7664629539,10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-12-19,10:10:07,"Saucedo, Taylor",1000305685,Left,NA,NA,Sinker,Live,NA,88.67824,-1.00987053,4.825376746,2259.629503,103.4268211,09:30:00,5.37374,-2.43153,6.39862,-31.17407,4.28493,-18.02198,1.84393,0.51409,79.88495,-6.951220997,1.382933498,0.4285826775,11.53512,2.69764,2.09366,50,5.28694,-10.33628,-128.59365,-3.17326,18.97425,31.05768,-27.73667,26fa7d15-b978-4e94-9a5b-b9c99b2c7ec6,8ab15510-cbcd-4105-8206-e6683bb9a568,87.94672,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.62066885,2100.65017,0.9296436283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-12-19,10:10:27,"Saucedo, Taylor",1000305685,Left,NA,NA,Sinker,Live,NA,87.35448,-1.678629203,4.364102824,2148.797128,97.78613937,09:15:00,5.33018,-2.33205,5.96018,-34.39232,2.78272,-20.29688,0.90284,0.03057,78.81172,-8.169102023,0.512182676,0.438830826,12.47247,2.06945,1.99688,50,5.17783,-9.03556,-126.6132,-4.78375,19.87601,30.26344,-28.87619,3f0eb8c4-e033-4037-8cba-59ac83f85a1d,8ab15510-cbcd-4105-8206-e6683bb9a568,85.89287,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.91657709,2085.72335,0.970646937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-12-19,10:10:45,"Saucedo, Taylor",1000305685,Left,NA,NA,Sinker,Live,NA,87.95442,-1.304700124,3.098724931,2141.67915,104.6050177,09:30:00,5.38224,-2.37858,6.38402,-31.51931,4.37085,-16.82954,1.55366,-0.92819,79.50313,-7.302499012,-0.1208575741,0.4311804964,10.28907,2.83588,2.16358,50,5.27386,-6.43475,-127.80172,-3.82123,16.73414,30.42632,-27.56178,f8347ebc-8e40-4a6e-836f-ae3c595499f2,8ab15510-cbcd-4105-8206-e6683bb9a568,87.41685,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.95375978,2025.559481,0.9457810155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-12-19,10:11:05,"Saucedo, Taylor",1000305685,Left,NA,NA,ChangeUp,Live,NA,82.21277,-0.3300669031,2.66619413,2285.159653,104.2211613,09:30:00,5.28739,-2.51423,6.55789,-35.41492,5.39355,-21.41651,2.03324,-1.85302,74.25053,-7.100251861,-1.448991485,0.4597762478,12.76876,3.10242,2.33982,50,5.24961,-5.01308,-119.55926,-1.60643,18.14256,27.00241,-27.76596,734bc500-f7a8-431e-94b0-c07e66fccb4c,8ab15510-cbcd-4105-8206-e6683bb9a568,81.97996,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.157313364,2256.035535,0.9872551062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-12-19,10:11:27,"Saucedo, Taylor",1000305685,Left,NA,NA,ChangeUp,Live,NA,82.93044,-0.8168120827,2.59979806,2235.069829,100.2497942,09:15:00,5.25839,-2.48111,6.50475,-36.51915,3.66836,-20.418,1.46476,-1.79527,75.01143,-7.781171867,-1.319587905,0.456264791,12.16941,2.30244,2.30866,50,5.18547,-4.93607,-120.58822,-2.68573,17.59246,27.43777,-28.845580000000002,addb87ce-541b-4c5d-9330-90a796f36002,8ab15510-cbcd-4105-8206-e6683bb9a568,82.61089,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.69316413,2161.978623,0.9672980213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-12-19,10:11:47,"Saucedo, Taylor",1000305685,Left,NA,NA,Slider,Live,NA,78.6342,0.02824721321,2.254918835,2265.716633,289.3210548,03:45:00,5.28162,-2.49222,5.75387,-48.54951,-2.57764,7.24859,1.26214,0.21168,71.47987,-9.071999547,3.624111731,0.4879973671,-3.16601,-1.39859,2.30105,50,5.25491,-4.70774,-114.23034,-1.34878,-4.11104,24.43069,-33.9901,4cd2bdaa-9941-4e6e-9a9b-826ba3a7c25b,8ab15510-cbcd-4105-8206-e6683bb9a568,77.23902,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266.2454942,-67.00467881,885.1157024,0.3906559582,02:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-12-19,10:12:09,"Saucedo, Taylor",1000305685,Left,NA,NA,Slider,Live,NA,78.31251,-1.043568952,1.915570722,2155.077542,277.4553438,03:15:00,5.42399,-2.38638,5.72018,-46.90765,-0.93797,6.84565,0.54245,-0.03119,72.01408,-9.765538855,3.201933404,0.4879857141,-3.10536,-0.19282,2.22237,50,5.30821,-4.00791,-113.84571,-3.44736,-4.0478,22.22889,-32.42539,e11185d7-58a4-4cec-9921-fc128826f639,8ab15510-cbcd-4105-8206-e6683bb9a568,77.24087,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
