PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-01-02,10:35:28,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,81.38704,-0.7683934343,4.128580131,2182.657222,155.3884476,11:15:00,5.44119,-0.98384,5.33346,-28.52109,13.58081,-6.25007,2.3484,2.33902,74.84065,-6.089613128,2.960628754,0.4670057937,4.45209,7.50406,0.6507,50,5.36157,-8.34411,-118.20076,-2.44683,6.32901,21.51142,-21.50641,a4adffec-dc96-46ad-8da6-c9cd9f45ee37,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.71086,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.90442025,1979.695266,0.9070115295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-01-02,10:35:54,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.75155,-0.6321932899,2.39672446,2320.402022,146.8468265,11:00:00,5.42095,-1.06205,4.91265,-24.42581,14.21616,-9.31204,2.79273,0.40834,78.23536,-5.180646586,0.6587425958,0.447405211,5.61732,7.71909,0.85553,50,5.34796,-4.90064,-124.61677,-2.20308,8.81821,25.4408,-20.05643,aa0d0b8d-3cd7-454a-bf7b-b4754c0ded2f,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,84.24676,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.6122924,-0.3975090368,2320.346177,0.9999759333,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-01-02,10:36:28,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,84.68119,NA,NA,2284.252758,NA,NA,5.43486,-1.08224,4.80292,NA,NA,NA,3.45743,-0.69074,77.26075,-4.45926636,-0.07536155606,0.4535424085,2.90896,8.18173,1.00739,50,5.42133,-1.68751,-123.14577,-0.73435,4.46178,24.72145,-19.62488,bbae43e8-1a2c-4ee2-8dea-952b8c2bf64e,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,83.10676,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4091193,-18.84566351,2161.798812,0.9463921206,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-01-02,10:36:56,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.39587,-2.675523823,2.034193123,2295.971141,138.6411798,10:30:00,5.36931,-1.0815,5.73361,-26.25883,11.4029,-10.04681,0.70981,-0.04161,78.60464,-7.60220741,0.1342583443,0.4416940571,6.0355,6.95048,0.935,50,5.15666,-4.11744,-124.19777,-6.57553,9.44804,24.35784,-21.29369,4f24f8ca-4f8d-4324-bd7f-1190bd6a053a,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,85.33608,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.4382553,-10.94495509,2254.207526,0.9818100435,10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-01-02,10:37:27,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,73.27121,2.144999324,-2.533970467,1735.446061,242.4286236,02:00:00,5.39259,2.1904,3.92417,-46.30792,9.54969,18.44193,3.58285,1.30829,65.83255,-6.392934608,0.8766574768,0.5379136286,-10.31956,4.20633,-1.93874,50,5.57713,4.08973,-106.08319,2.45811,-11.55565,21.08397,-27.46389,3ab9a833-35c4-4574-b4c5-9190468a8cec,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,70.07154,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,257.10428,28.15463576,1530.103433,0.8816773204,02:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-01-02,10:37:35,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,79.64,0.178424814,-3.470520263,1927.794023,246.3941478,02:15:00,5.23455,2.28116,4.6242,-38.16671,7.63005,17.58678,2.22234,0.47431,72.10044,-6.915500726,-0.1902377307,0.487067055,-10.33975,3.96019,-1.9684,50,5.22255,6.43137,-115.48577,-0.88192,-13.8014,23.84299,-26.88802,d9f09662-a4ca-40d5-a561-531a48f7730d,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,77.38655,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1078203,1684.324886,0.873705835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-01-02,10:37:43,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,83.11733,0.6231420908,-4.220660498,2000.473665,220.179073,01:15:00,5.25885,2.12852,5.04311,-26.07295,15.76377,13.38557,3.67001,-0.70717,74.18396,-4.29672422,-1.696013262,0.4655326783,-8.61727,8.22876,-1.77136,50,5.29608,8.46449,-120.41299,0.49173,-12.3735,28.17802,-20.35841,e43366a3-7ac0-4859-920e-84c5c2166376,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.96626,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248.188142,20.63597639,1872.120129,0.9358384276,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-01-02,10:38:09,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,80.74731,2.579649674,0.1798297048,1825.131922,NA,NA,5.06766,2.30333,4.20788,NA,NA,NA,4.55493,3.74897,73.24388,NA,NA,0.4826373876,-7.87123,4.11435,-2.33475,50,5.29784,-0.90627,-117.15767,4.02703,-10.87347,23.39402,-26.4904,c6fc6c6d-b773-4ecd-93eb-d0228bdf8093,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,78.09681,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.419819893,1805.460176,0.9892217404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-01-02,10:38:40,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,81.83506,0.4728163326,-1.805608346,1827.659534,232.0549499,01:45:00,5.17501,2.17803,4.99913,-33.21565,8.98068,11.57185,2.84945,1.45315,74.87083,-5.716979177,0.3569840446,0.4675291986,-6.6574,4.6444,-2.02811,50,5.19411,3.38218,-119.0031,-0.07748,-9.54475,22.88376,-25.51536,3cfb7526-3416-47c6-9ff9-c74d35eceeef,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.6205,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1364272578,1827.654353,0.9999971652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-01-02,10:39:09,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,81.7755,1.512080114,0.5792140614,1877.256407,239.9755928,02:00:00,5.18993,2.1044,4.83537,-34.68827,7.99394,13.88335,3.71809,3.80471,74.51973,-4.94707994,3.169307214,0.4702132039,-7.18006,3.79106,-2.16641,50,5.30179,-1.65441,-118.8618,2.00648,-10.22524,23.75003,-26.77514,e8dee43a-5e3b-4a35-af92-fe267ba8de4a,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.16032,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.8649976,-0.5637983796,1877.165522,0.9999515862,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-01-02,10:39:31,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,81.79325,1.540128921,-1.754760173,1896.347612,239.2868098,02:00:00,5.11227,2.20005,4.82857,-34.9382,7.71727,13.06996,3.64673,1.64239,74.49965,-4.966621056,0.6839644853,0.4700659284,-7.4174,3.64028,-2.05088,50,5.22665,3.21389,-118.84831,2.05513,-10.57631,23.43439,-26.98346,815a33f7-1284-4a83-9d05-398186711484,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.18543,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8698372649,1896.129082,0.9998847629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-01-02,10:39:59,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,82.46828,2.271994087,-0.9838057032,1872.963577,244.9906399,02:15:00,5.14158,2.14965,4.87647,-35.25083,6.69178,14.43129,4.33512,2.42999,74.97314,-4.305533459,1.713091878,0.4661215392,-7.93579,2.88599,-2.0717,50,5.32037,1.58611,-119.81368,3.60286,-11.48426,24.11234,-27.99759,23476b78-4d2d-4db2-badb-d06a7f9e5ce7,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.86397,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.497769593,1872.323666,0.9996583432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-01-02,10:40:26,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.74076,0.3624613343,1.37998955,2284.050487,140.126649,10:45:00,5.56056,-1.02973,4.7695,-27.10798,11.63267,-9.7481,3.6421,-0.54569,78.35763,-4.671891192,-0.4339217662,0.4479761431,5.5228,6.03487,0.91079,50,5.57401,-2.66511,-124.67173,-0.15166,8.6967,24.94488,-22.67099,58984581-3186-499e-9db8-f0fc7c5076a7,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,84.13939,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.3504752,-18.14961552,2170.410624,0.9502463437,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2024-01-02,10:40:46,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.50363,-0.5640775119,1.385208338,2332.358623,140.1036803,10:45:00,5.50941,-0.95949,5.65658,-25.62972,11.97379,-10.03701,2.85237,-0.51608,78.40236,-5.392167866,-0.5115343041,0.4413525243,5.8427,6.67202,0.85965,50,5.45338,-2.71211,-124.50491,-1.98853,9.18422,24.66481,-21.68621,84e13f7f-4a67-4e5e-a36e-997fde7b12bf,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,85.40211,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.8704693,0.3055699848,2332.325453,0.9999857785,10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2024-01-02,10:41:55,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,82.27617,0.2118750548,-2.599847412,1857.858159,226.3092596,01:30:00,5.10256,2.14445,5.11578,-30.67321,11.32441,11.90508,2.74438,0.70874,74.47611,-5.546649622,-0.3597145703,0.4664270876,-7.17951,5.99812,-1.93023,50,5.10119,5.05568,-119.51455,-0.51378,-10.27192,25.36004,-23.59238,d02b5f22-05ef-49ab-9754-007173dc425e,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,80.811,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.1094654,28.03704179,1639.827161,0.8826438945,02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2024-01-02,10:42:12,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,83.80059,1.266637988,-1.756863336,1833.472653,251.6430382,02:30:00,5.18132,2.1566,5.06567,-34.83375,5.80959,17.65036,3.46237,1.98593,75.65719,-5.279050607,1.567919191,0.4588450718,-9.99965,2.70461,-2.01663,50,5.26802,3.17,-121.73182,1.58006,-14.79913,26.95436,-28.17132,e6a92803-f48c-432d-aff2-553f9b0b2070,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,82.14633,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.6160203,24.02800291,1674.595938,0.9133465589,02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2024-01-02,10:42:25,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,84.5855,0.1123836198,-3.617410032,1929.106765,226.436593,01:30:00,5.0964,2.11528,5.47086,-25.69279,13.44642,14.20265,3.05972,-0.05892,76.70433,-4.7366299,-0.9352134634,0.4502746078,-8.77913,7.25195,-1.83682,50,5.09106,7.33818,-122.85604,-0.53414,-13.31938,26.00805,-21.17165,0107b21f-5c00-424f-9626-9d8cecfdaba4,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,83.70989,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.2685002,27.9144488,1704.650563,0.8836475999,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2024-01-02,10:42:38,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.61839,0.1801283422,-2.980089262,1880.630587,224.2724568,01:30:00,5.11311,2.2227,NA,-30.39915,11.11847,10.8898,2.75403,0.24987,77.53227,-5.332808162,-1.00187873,0.4637539632,-6.34322,5.51868,-1.88395,50,5.09989,5.99789,-123.98028,-0.88387,-9.80842,26.30424,-23.64061,c8605515-298d-4f05-b762-de5337a3ba89,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2274526,1573.150982,0.8365018589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-01-02,10:42:52,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,85.00606,0.4488810218,-4.285221837,2014.00932,225.2685038,01:30:00,5.15458,2.22637,NA,-31.67127,9.78373,9.94414,2.94819,-1.07355,77.77346,-5.281220892,-2.485856509,0.4634040932,-6.14606,4.8079,-1.74887,50,5.17167,8.8168,-123.09026,-0.32753,-9.4717,23.40627,-24.76459,73794aae-02ed-4de2-b726-3d8bf3518ce0,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.2831914,35.62317706,1637.118122,0.8128652165,02:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2024-01-02,10:43:28,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,73.48462,-1.772804251,2.693219263,1888.263595,137.7575503,10:30:00,5.68653,-1.07793,5.01398,-35.15745,17.76737,-16.16333,1.09688,0.09504,66.85034,-8.325486311,-0.3434050997,0.523601803,9.45932,10.03005,0.85403,50,5.50889,-4.56025,-106.665,-4.29973,10.77783,20.23427,-20.74594,4c793292-b508-432e-8ecf-10321ec92a6d,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,71.98684,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.776537,-24.73842096,1714.973421,0.9082277632,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2024-01-02,10:43:50,"Player, Guest",1000288882,Right,NA,NA,NA,Live,NA,87.94132,0.02152835927,1.289218867,2233.421452,141.9939344,10:45:00,5.47936,-1.08284,5.22231,-21.93176,14.53995,-11.38906,3.67177,-0.83104,79.70136,-4.103944529,-0.8567316158,0.4346597765,6.50774,7.80394,0.98227,50,5.46777,-2.50435,-127.88934,-0.67174,10.68725,28.4484,-19.35811,4261a0ad-2b55-42fd-856b-05873d30e29b,a6a4b491-9d5e-4319-abf9-d50ccba2b02d,86.71711,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.2427866,-25.46874679,2016.377514,0.9028199816,10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
