PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-05-27,09:46:26,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,69.43342,NA,NA,1456.364587,NA,NA,5.89362,-1.45229,4.55645,NA,NA,NA,0.87717,1.57384,63.80938,-10.19733008,1.75964239,0.5633243174,8.85214,4.86802,1.00233,50,5.77352,-7.38432,-100.53263,-2.84198,9.03055,16.78365,-27.20792,76946a39-e9af-4032-aa7b-d56ad0afb09d,be3f4565-d28f-4849-b47b-f8657072052c,66.91073,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.10496246,1367.620259,0.9390644838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-27,09:46:39,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,72.73816,1.674722402,3.004599362,1510.282748,124.6002383,10:15:00,5.56311,-1.43586,NA,-49.30534,7.91685,-11.58191,3.07727,0.50851,66.7631,-7.1864109,0.91600375,0.5444445025,6.56452,3.49611,1.09,50,5.70569,-5.11019,-105.3797,1.29304,7.41379,17.17874,-28.22564,ce3052e6-eb17-4d7a-8260-82f9cc83f289,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.3239711,-33.3157944,1262.076816,0.8356559836,10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-27,09:46:50,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,74.2769,0.7478979812,1.305031016,1586.737047,146.2846741,11:00:00,5.54247,-1.32275,NA,-45.91444,9.34464,-6.2688,2.44118,-0.58041,67.83176,-7.517118042,0.170849344,0.5350239504,3.49168,4.43386,1.17227,50,5.5782,-2.21917,-107.67247,-0.30594,4.08727,19.19681,-26.98389,bc4f4ebf-3500-48fb-a39d-03ed0a087a88,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.5218633,-36.64847554,1273.059359,0.8023127472,10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-27,09:47:01,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,74.06334,1.145168639,2.226033669,1615.060623,153.1536813,11:00:00,5.56971,-1.2955,NA,-48.82072,6.47211,-3.30234,2.61241,0.58828,68.15217,-7.601461358,1.631755325,0.5351872918,2.22464,2.90729,1.02901,50,5.64989,-4.05013,-107.38005,0.31695,2.61046,17.72207,-28.76255,b534686a-5f42-406e-8f58-b8d856ffa5c1,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.930292,-40.22479934,1233.125569,0.7635165836,10:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-27,09:47:13,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,73.88908,2.198388187,1.717519331,1549.107469,149.2191963,11:00:00,5.50283,-1.22429,NA,-47.38953,8.51547,-5.10218,3.68466,0.01429,67.21835,-6.356097183,0.7938575008,0.5381417826,3.03629,3.60668,1.02335,50,5.71184,-3.02065,-107.01804,2.36092,3.50866,19.08553,-28.00627,77a4e8fb-7080-42b4-8ad1-55948134e5cc,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.3320142,-36.87800678,1239.154415,0.7999150733,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-27,09:47:32,"Haworth, Aidan",1000335255,Left,NA,NA,NA,Warmup,NA,74.03535,1.763016525,1.338715879,1611.09111,109.9297733,09:45:00,5.48936,-1.35959,NA,-54.001,1.61231,-4.58281,2.6953,-0.44658,67.45473,-7.990126691,0.5066977793,0.5367360531,2.68615,0.2837,1.20534,50,5.637,-2.33884,-107.26184,1.32531,3.10998,19.62755,-31.845580000000002,7431d952-b73d-4d89-ba26-890dd775d743,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.36605432,1190.362256,0.7388547108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-27,09:48:19,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,76.81435,NA,NA,1624.097287,NA,NA,5.56916,-1.06881,5.48559,NA,NA,NA,3.54773,0.43635,69.977,-5.845546407,1.320702066,0.4993886134,2.10756,5.19453,0.90713,50,5.64892,-3.55646,-111.63564,1.21015,2.64636,21.03427,-25.65151,e45b2759-9c68-41dd-bebc-d3057ec4d4a0,be3f4565-d28f-4849-b47b-f8657072052c,75.47717,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.6611623,-36.41660241,1306.946509,0.8047218106,10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-27,09:48:33,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,76.17532,1.493879635,0.984002775,1514.113106,135.1901142,10:30:00,5.48487,-1.01879,5.70097,-41.92082,6.48692,-6.48576,3.3838,-0.64241,69.65436,-6.352918509,-0.2340546643,0.5007590743,3.75675,3.05112,0.9404,50,5.58409,-1.71707,-110.79597,1.6881,4.65846,20.24487,-28.39058,5eced262-d26e-41c1-9782-bd285acc67d9,be3f4565-d28f-4849-b47b-f8657072052c,75.27061,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.6303977,-33.00105625,1269.826896,0.8386605273,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-27,09:48:50,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,76.463,NA,NA,1667.227115,NA,NA,5.48691,-1.00133,NA,NA,NA,NA,3.73205,-0.64616,69.6816,-5.676667124,0.0466601311,0.5174412595,1.87664,4.99491,0.92773,50,5.64036,-1.14919,-110.87697,1.75925,2.33293,20.08055,-25.96467,c2434656-4b3c-4944-a109-95d02315331a,be3f4565-d28f-4849-b47b-f8657072052c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.4419846,-36.3809354,1342.26989,0.805091207,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-27,09:49:14,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,76.86158,1.682025745,0.4950438062,1545.779223,134.4622028,10:30:00,5.47515,-0.96399,5.61837,-40.59531,6.73865,-6.90565,3.66224,-1.07752,70.78458,-5.877579166,-0.7945647701,0.4951739898,3.81158,3.15551,0.92626,50,5.59239,-0.76238,-111.85073,2.08511,4.85823,19.01521,-28.15203,f7ab219f-e236-4d84-ad6b-aa55381b22c0,be3f4565-d28f-4849-b47b-f8657072052c,76.11959,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.7335938,-32.66901329,1301.241327,0.8418028317,10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
