PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-09-02,10:27:38,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,77.64271,-0.3578658109,3.706473686,1984.962298,160.2880272,11:15:00,5.97971,-0.9948,4.87569,-29.63889,19.46636,-7.00273,3.17052,1.93316,69.50607,-5.871531618,2.401619208,0.5043538507,4.92619,10.30487,0.63622,50,5.92048,-7.0544,-112.42043,-1.66975,6.17028,24.42173,-19.26672,08c417fb-1d61-41de-b922-c8f01b8bba5e,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.73412,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.925001,-0.08744899616,1984.959986,0.9999988352,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-09-02,10:27:48,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,77.13716,0.1889391845,1.870639203,1998.497404,167.4891233,11:30:00,5.94717,-0.91222,4.71552,-30.84331,19.05927,-4.24071,3.55627,0.51002,69.05269,-5.540399849,1.080904734,0.5084320396,2.8428,9.85008,0.72695,50,5.93995,-3.51182,-111.83055,-0.65371,3.52345,24.16718,-19.96557,a560cb49-dd40-4edc-b2d1-b2210988e43c,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.13467,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.271645,-1.551814034,1997.764443,0.9996332437,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-09-02,10:27:59,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,78.67494,-0.8003241583,3.110553179,1988.179616,158.3269804,11:15:00,5.92345,-1.09009,4.89344,-28.69704,18.72131,-7.46364,2.77395,1.2327,70.97981,-6.119523637,1.723172521,0.4956151753,4.89063,10.03551,0.79154,50,5.82176,-5.95014,-114.04969,-2.54766,6.35199,23.69773,-19.13984,293f997b-63a6-4a33-9ba4-1bf765caacae,e9664619-a0eb-4288-bafa-3bd35f6fa425,76.05183,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.9909798,-22.60331799,1835.463486,0.9231879611,11:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-09-02,10:28:11,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,77.68227,-2.613129587,2.147301933,1969.769823,153.8352386,11:15:00,5.9132,-0.92027,4.62607,-26.75053,22.86156,-11.23891,1.1969,0.18498,69.53732,-7.556655842,0.05434029446,0.5069500694,6.57991,12.77431,0.7099,50,5.62159,-3.8375,-112.44132,-6.03623,8.22295,24.92018,-16.20991,c9e4d8e6-a7b1-4ff7-b927-c5aa8f5cf322,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.35138,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.3746636,-16.63366097,1887.343955,0.9581545687,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-09-02,10:28:27,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,78.63747,1.43699967,1.865838585,1933.484699,161.0877148,11:15:00,5.92742,-1.05298,4.53113,-30.41993,17.7054,-6.08292,4.76159,0.21719,70.60844,-4.187648341,0.7399474402,0.4992961828,3.74162,8.67269,0.86409,50,6.04963,-3.50165,-113.9898,1.80213,4.84728,23.96087,-20.93855,ba7e23e0-89ae-42b8-bc1b-bc902efdcc4e,e9664619-a0eb-4288-bafa-3bd35f6fa425,75.49114,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5146511372,1933.406701,0.9999596589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-09-02,10:28:40,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,77.70356,1.890855064,1.778989423,1894.203124,157.7875176,11:15:00,5.86368,-1.07808,4.76836,-32.17606,17.07939,-6.99358,4.9763,0.02606,69.18211,-4.110891829,0.4731361743,0.5051246754,4.26826,8.2474,0.90595,50,6.02603,-3.26545,-112.58096,2.6547,5.34582,25.03472,-21.84454,ff797b94-c50e-46b7-ae5d-ed77dafa6e2a,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.62007,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0889969474,1894.200839,0.9999987936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-09-02,10:29:01,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,78.71196,-1.616308424,3.76306587,1970.855546,174.331396,11:45:00,5.81512,-1.47663,4.92362,-29.19858,18.61401,-1.8545,1.85039,1.93096,70.54113,-7.038083097,3.417259306,0.4976712268,2.2747,10.31786,1.11142,50,5.63419,-7.43152,-113.91186,-4.17767,2.91993,25.42098,-18.92944,34e37b9a-90f3-4488-ae00-d247cb0c8f4e,e9664619-a0eb-4288-bafa-3bd35f6fa425,75.73763,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.71754032,1914.639986,0.9714765697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-09-02,10:29:17,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,78.2415,0.3950637447,2.137020785,1872.575116,160.0778191,11:15:00,5.83283,-1.63364,4.26499,-28.81119,20.36057,-7.39986,3.81014,-0.20478,70.18883,-4.90760761,0.7727495078,0.5046953079,4.48554,10.28563,1.40826,50,5.84767,-3.96531,-113.35908,-0.24852,5.7376,24.00411,-19.01736,1fa22df1-9d19-46ee-86c1-19dadad32bc3,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.68355,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.684253,-15.19640129,1807.096708,0.9650329605,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-09-02,10:29:34,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,77.5374,-0.4790084274,2.959602964,1926.265348,155.6787671,11:15:00,5.70289,-1.42019,4.78986,-32.16569,17.34728,-7.86769,2.5679,0.73112,69.218,-6.464403918,1.490759348,0.5064433954,5.15144,9.2259,1.13157,50,5.62839,-5.54732,-112.29544,-1.99671,6.41162,25.12762,-20.69124,d15a5a05-669e-477f-b18c-206b3fad1af6,e9664619-a0eb-4288-bafa-3bd35f6fa425,74.42577,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.7429762,-22.83520836,1775.294009,0.9216248485,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-09-02,10:29:49,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,77.06415,-0.3493722525,3.190727356,1902.941633,156.1144117,11:15:00,5.81795,-1.45098,4.71837,-32.7157,17.48814,-7.77369,2.75963,0.93178,68.88875,-6.424305735,1.742996492,0.5099644004,5.15612,9.22525,1.13536,50,5.75483,-5.964,-111.58794,-1.76146,6.3477,24.50005,-20.81683,8ab32ad3-c4e5-4b04-8be0-fd9e2f7b5ce0,e9664619-a0eb-4288-bafa-3bd35f6fa425,73.9119,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.9497924,0.6008659463,1902.836992,0.999945011,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
