PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-12-23,10:37:55,"Howard, Spencer",1000387587,Right,NA,NA,NA,Warmup,NA,85.67106,-1.746921061,-4.149318147,2021.828103,225.9099373,01:30:00,5.79652,2.9724,5.34874,-24.74004,14.16954,14.65863,2.09174,0.29581,78.30407,-6.335739004,-1.423891383,0.4489517278,-8.90676,7.98108,-2.60912,50,5.62161,8.51256,-124.23745,-4.64359,-13.92349,24.84452,-19.69764,6d3346b2-f501-49ba-8bc0-a3ac91b35147,5bf885eb-9740-4e46-bbf9-62f6f3f20dc6,83.95655,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-12-23,10:38:51,"Howard, Spencer",1000387587,Right,NA,NA,NA,Warmup,NA,86.96564,-0.9742452375,-3.858334945,1961.685365,216.5636054,01:15:00,5.77009,3.09658,5.56196,-21.9064,15.73202,11.70632,3.03236,0.46257,78.86958,-5.074520054,-1.665578704,0.4415573006,-7.40184,8.69089,-2.77123,50,5.67174,8.11983,-126.17702,-2.88015,-11.85015,27.33232,-18.26016,6360c8c3-e802-4a39-987d-f702409c4777,7524c5aa-13d8-4cbb-a3ed-90997426b881,85.36251,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-12-23,10:39:11,"Howard, Spencer",1000387587,Right,NA,NA,NA,Warmup,NA,86.19065,NA,NA,1980.362852,NA,NA,6.10142,3.12602,5.63052,NA,NA,NA,2.18046,-0.35718,77.778,NA,NA,0.4470502175,-12.46546,13.09023,-2.66887,50,5.85387,11.37465,-124.61568,-6.5933,-19.40757,27.35698,-11.79376,24309534-b308-4e7b-8b34-8620fca442b5,7524c5aa-13d8-4cbb-a3ed-90997426b881,84.31366,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-12-23,10:39:24,"Howard, Spencer",1000387587,Right,NA,NA,NA,Warmup,NA,86.13802,-1.030098218,-4.237466556,2089.89194,216.2759776,01:15:00,5.72676,2.84073,5.59671,-23.33446,15.0997,11.12338,2.81789,-0.19521,77.96951,-5.402723223,-2.151712274,0.4462005659,-7.24496,8.39222,-2.48464,50,5.62346,8.89038,-124.90106,-3.01532,-11.33797,27.34879,-19.04068,cdc3c328-f701-48bb-8da2-e177289cd472,7524c5aa-13d8-4cbb-a3ed-90997426b881,84.47421,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.1127118,0.759438416,2089.70836,0.9999121577,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-12-23,10:39:42,"Howard, Spencer",1000387587,Right,NA,NA,Fastball,Live,NA,85.02699,-1.056067077,-5.349941507,1964.32385,210.4313638,01:00:00,5.75714,2.75705,5.68607,-25.67563,13.68151,8.08193,2.6289,-1.56979,77.19251,-5.859371311,-3.83872623,0.4515264634,-5.93614,7.65442,-2.31137,50,5.65214,11.27322,-123.12699,-3.09669,-9.04807,26.06801,-20.50692,dc2357d2-a32d-4fc6-b3e2-f81467651daa,7524c5aa-13d8-4cbb-a3ed-90997426b881,83.47781,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.9728809,2.316562349,1962.718511,0.9991827526,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-12-23,10:40:00,"Howard, Spencer",1000387587,Right,NA,NA,Fastball,Live,NA,84.43459,-1.389701307,-5.831381039,1945.765339,222.3148972,01:30:00,5.66694,2.9405,5.6773,-25.18934,14.57537,13.33486,2.26551,-1.40247,77.0493,-6.088355141,-3.346649061,0.4538582962,-8.77317,8.19246,-2.45642,50,5.53363,12.05716,-122.20906,-3.78112,-13.26099,24.20073,-19.79081,71e1613b-9e4c-48ae-b6e4-388c7ad27d51,7524c5aa-13d8-4cbb-a3ed-90997426b881,83.04891,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-12-23,10:40:16,"Howard, Spencer",1000387587,Right,NA,NA,ChangeUp,Live,NA,74.77055,0.6854453787,-2.717177723,1300.308301,243.4910851,02:00:00,5.52616,2.80903,6.25312,-42.66078,6.27518,12.69077,2.60384,1.35937,68.96699,-7.338556504,-0.319934647,0.5034837189,-7.64805,3.24337,-2.61384,50,5.5558,4.84009,-108.82075,0.21266,-9.21207,18.29429,-28.26741,544404d1-d5bd-4b6f-b251-67208d676ec9,7524c5aa-13d8-4cbb-a3ed-90997426b881,74.86327,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3804770615,1300.279631,0.9999779514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-12-23,10:40:33,"Howard, Spencer",1000387587,Right,NA,NA,ChangeUp,Live,NA,75.48165,-0.1386988363,-3.971265429,1385.655293,246.4931143,02:15:00,5.61949,2.74919,6.13857,-42.67799,5.58775,12.96536,1.93453,0.15415,69.80988,-8.12522634,-1.533532884,0.5000240303,-8.0761,3.07204,-2.45328,50,5.5866,7.2746,-109.71793,-1.39309,-9.90847,18.23224,-28.405,2a27ecdf-7bf3-4ef4-906c-6240de061c30,7524c5aa-13d8-4cbb-a3ed-90997426b881,75.38126,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9402686098,1385.468709,0.9998653461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-12-23,10:40:49,"Howard, Spencer",1000387587,Right,NA,NA,ChangeUp,Live,NA,74.80855,-0.8222295168,-5.133757636,1388.015792,270.0266182,03:00:00,5.41637,2.78661,6.19303,-49.3708,-0.02991,13.68535,0.54004,-0.82457,69.28428,-10.04045725,-2.559868105,0.5055625285,-8.83779,0.20534,-2.40676,50,5.32916,9.39856,-108.53981,-2.83681,-10.57781,18.40917,-31.92829,ebc6fccf-e8da-4202-b012-652f380add29,7524c5aa-13d8-4cbb-a3ed-90997426b881,74.55544,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-12-23,10:41:07,"Howard, Spencer",1000387587,Right,NA,NA,Fastball,Live,NA,87.91607,-2.266521728,-5.546275498,2076.149106,216.23386729999999,01:15:00,5.58776,2.93214,5.63052,-21.13651,15.72898,11.56139,1.70088,-1.29478,79.96541,-6.211325315,-3.389083734,0.4369999929,-7.79765,9.07394,-2.46675,50,5.38078,11.96764,-127.20581,-5.76145,-12.7231,27.11512,-17.36848,14adfd8f-97ef-42d7-8d4f-fa65f988f147,7524c5aa-13d8-4cbb-a3ed-90997426b881,86.25272,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
