PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-07-30,09:30:30,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,72.9527,-1.160327278,6.569425077,1539.147575,142.8859302,10:45:00,5.22032,-2.06686,5.59114,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11973,1.8284,1.50306,50,5.08744,-12.07724,-105.38395,-3.56407,3.48197,19.16696,-30.13334,48308667-64dd-47dc-8958-4c68b27c0b18,b76a5a9c-d88b-4231-b12b-1d675390b918,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.2931319,1240.551778,0.8059992416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-07-30,09:31:28,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,77.58305,-0.2336489554,5.149643239,1870.414065,127.1807583,10:15:00,5.09168,-2.33603,5.27019,-40.54771,7.77228,-10.33652,1.49238,1.65217,70.15632,-7.777446281,3.221887124,0.5003049488,7.12561,4.19016,1.87223,50,5.04127,-9.79784,-112.25884,-1.71117,8.96133,23.06583,-26.9044,66d2ac54-0f13-41d8-bafe-57758636ada5,b76a5a9c-d88b-4231-b12b-1d675390b918,75.33893,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.46644497,1774.105174,0.9485093207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-07-30,09:31:41,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,76.94229,0.4139241868,4.611946059,2053.542181,122.2578625,10:00:00,5.23797,-2.4136,5.48367,-40.55142,8.22739,-13.15447,2.24717,0.81387,69.30101,-7.18624105,2.141141434,0.5026746665,8.5435,4.25573,2.01775,50,5.24749,-8.60073,-111.43691,-0.39042,10.55539,23.29081,-26.91615,3bfad6da-6b7a-4f9c-a54f-b8931cdb1d03,b76a5a9c-d88b-4231-b12b-1d675390b918,74.98376,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.274216915,2026.698972,0.9869283382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-07-30,09:31:54,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,78.39245,0.9893736761,4.636685313,1794.115652,134.8831584,10:30:00,5.17193,-2.27619,5.69758,-41.10566,5.46263,-5.54907,2.67141,1.591,70.71888,-6.736893736,3.592643468,0.4911527014,4.49832,2.61429,1.89021,50,5.22996,-9.04968,-113.57264,0.77254,5.77901,23.98393,-28.81547,ea3efa8a-3632-42a2-9ae1-e4b706097340,b76a5a9c-d88b-4231-b12b-1d675390b918,76.74281,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.03068736,1625.614651,0.9060813047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-07-30,09:32:24,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,77.61313,-0.008942896141,5.034407051,1788.367541,116.2333246,09:45:00,4.94157,-2.30792,5.61541,-42.87024,5.0459,-10.36035,1.36067,1.53879,69.81823,-8.059880497,3.082988941,0.4982098144,7.28027,2.7121,1.88425,50,4.91386,-9.59529,-112.33798,-1.26306,9.10528,24.39053,-28.78208,273933cc-a3bf-4c79-8acb-58796635057f,b76a5a9c-d88b-4231-b12b-1d675390b918,75.65575,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.847887782,1787.437515,0.9994799582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-07-30,09:32:45,"Anderson, Hayden",1000345446,Left,NA,NA,NA,Warmup,NA,80.79275,0.5677084353,2.692495047,1932.936946,111.8017641,09:45:00,4.95479,-2.61073,5.77125,-37.49202,6.03558,-15.21317,2.35928,-1.37142,72.86464,-6.504459783,-0.1868742404,0.4748470667,9.08345,3.06898,2.39746,50,4.97938,-5.06665,-117.33025,0.05216,12.45128,25.64976,-27.9672,adee7608-caa2-48ac-8c22-85842039138e,b76a5a9c-d88b-4231-b12b-1d675390b918,79.37806,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9819382399,1932.653089,0.9998531471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-07-30,09:33:02,"Anderson, Hayden",1000345446,Left,NA,NA,Fastball,Live,NA,79.49585,1.211393064,2.804814868,1796.930096,126.1379394,10:15:00,5.25434,-2.24616,5.34867,-35.59172,9.9479,-13.70782,3.42597,-0.75595,71.80282,-5.445450479,0.2362503062,0.4856978096,8.15152,4.89875,2.00341,50,5.33854,-5.22178,-115.36734,1.3251,10.85411,23.86986,-25.65114,faa17cd1-0022-42fe-b0f2-70c97a92c20f,b76a5a9c-d88b-4231-b12b-1d675390b918,77.60471,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.958431214,1795.880481,0.999415884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-07-30,09:33:16,"Anderson, Hayden",1000345446,Left,NA,NA,Fastball,Live,NA,81.07651,-1.450254521,4.900522214,1777.584194,92.18264046,09:00:00,5.08511,-2.20963,5.7718,-42.8886,0.4726,-12.67206,0.15644,1.30515,73.70724,-9.471477685,2.514076267,0.473938566,8.39383,0.7185,1.81191,50,4.93943,-9.69169,-117.43202,-4.25944,11.55765,25.13397,-31.18473,2ad1c098-9249-4cd5-8edd-d47b718acb1e,b76a5a9c-d88b-4231-b12b-1d675390b918,79.53022,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33397071230000003,1777.553997,0.9999830121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-07-30,09:33:35,"Anderson, Hayden",1000345446,Left,NA,NA,Fastball,Live,NA,82.97243,-0.8528042593,3.971006392,2006.057782,124.848961,10:15:00,4.96924,-2.62001,5.58705,-31.74128,10.20055,-14.71209,1.52593,-0.13249,74.2806,-6.833754992,1.19022189,0.4661171416,9.27435,5.77044,2.28838,50,4.87583,-7.88749,-120.23229,-2.78394,13.25759,28.40427,-23.92527,9fe2b92d-c0a9-4576-a87c-278fd9b75376,b76a5a9c-d88b-4231-b12b-1d675390b918,80.86473,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2614965769,2006.036889,0.9999895851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-07-30,09:34:08,"Anderson, Hayden",1000345446,Left,NA,NA,Fastball,Live,NA,82.73933,-1.129683069,4.578722248,1864.922842,118.5772837,10:00:00,5.01451,-2.50218,5.73626,-35.59439,6.26177,-11.56107,0.99301,0.80656,74.52327,-7.824713607,2.39561538,0.4656408909,7.76851,3.75461,2.12774,50,4.89889,-9.24713,-119.85679,-3.45332,11.07992,27.38532,-26.819,a1628907-bae0-4ba8-9349-13124bd746e5,b76a5a9c-d88b-4231-b12b-1d675390b918,80.94744,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.49750131,1710.278708,0.9170774631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
