PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-01-27,12:59:14,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,72.0019,-1.238696756,-1.882211503,1790.333276,230.8407749,01:45:00,6.63067,1.51813,5.87135,-41.6494,10.9108,13.44363,2.0195,0.90618,66.64506,-9.059682785,0.6660853138,0.5217949823,-7.88002,6.31756,-1.38879,50,6.52171,3.12242,-104.84387,-3.26897,-8.79623,17.25,-25.12195,a4ff11a5-b3a0-4ca7-a5e2-7a94276bbd0f,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,72.23611,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.1809508,4.9674755,1783.608806,0.9962440124,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-01-27,12:59:27,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,81.3678,-1.623300159,-2.320061431,1897.948426,231.1538207,01:45:00,6.41831,1.69518,5.77444,-29.67791,11.80806,14.69024,2.44735,0.77982,74.66535,-7.213744263,0.4640985622,0.4635771686,-8.68503,6.91357,-1.53119,50,6.2839,4.39103,-118.38364,-4.17643,-12.31533,22.76845,-22.37064,5788f7c1-8715-4115-8e87-c22c8f835591,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,81.3078,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.6692042,11.04274208,1862.807092,0.9814845687,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-01-27,12:59:35,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,84.02184,-2.074082517,-2.664573256,2017.152789,238.0128721,02:00:00,6.20093,1.52058,6.10167,-28.50564,9.93572,15.92362,1.92276,0.4051,77.15542,-7.47127384,0.3705833871,0.4462423125,-9.55905,6.08017,-1.34589,50,6.04755,5.26561,-122.24718,-5.19044,-14.45592,24.24673,-22.97915,7e01db93-4c1b-4f35-b045-3ec31e4050be,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,84.4663,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.0218404,7.075735218,2001.790545,0.9923841942,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-01-27,13:00:03,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,88.9553,-0.4311914428,-4.177464555,2209.222847,236.1611666,01:45:00,6.11713,1.59775,4.81454,-25.51791,10.55225,15.81318,3.5849,-1.01176,81.25558,-5.167774193,-1.24072883,0.4322603886,-9.49735,5.69131,-1.23029,50,6.05978,8.86189,-129.05685,-1.88466,-16.04068,26.49987,-22.56163,b0787c2b-9745-4dc4-963e-82613693e818,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,87.19846,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.8359128,12.75608772,2154.696721,0.9753188657,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-01-27,13:00:12,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,88.1251,-2.202215377,-3.626357809,2168.421868,241.2651872,02:00:00,6.01077,1.47805,4.80237,-27.94638,8.67408,15.82622,1.60962,-0.61155,81.17187,-7.356262877,-0.6921725784,0.4355452751,-9.29079,5.14879,-1.16004,50,5.79038,7.54227,-127.88903,-5.92179,-15.48086,24.87112,-23.59483,4596efbe-8d42-4fa2-9ea0-457e5d589ca1,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,86.54081,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.2879815,15.008139,2094.45494,0.9658890507,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-01-27,13:00:25,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,91.04578,1.229881784,-2.39533387,2172.456062,241.5306618,02:00:00,6.08654,1.46319,5.03942,-24.53055,9.40932,17.44425,5.19286,0.67709,83.33967,-3.343544988,0.8593457078,0.4193015899,-9.91732,4.6786,-1.26721,50,6.17693,4.91995,-132.37329,1.97627,-17.67163,27.13237,-23.83728,68d6d877-e18a-420a-ad4f-0cb3eb373e9b,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,89.89338,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224.0894076,15.26926529,2095.765815,0.964698827,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-01-27,13:01:07,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,NA,Warmup,NA,91.29425,-1.606072187,-2.38269336,2241.728634,231.5155746,01:45:00,6.00795,1.35336,4.9906,-21.91796,12.04033,15.16576,2.67749,0.38719,83.47893,-5.685110667,0.4501736494,0.419415325,-8.72509,6.84783,-1.15508,50,5.85269,4.97967,-132.66261,-4.5039,-15.54952,28.3731,-19.97011,17ea7eba-90de-4ce6-ba0a-3896dae57ac4,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,89.86901,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.4486151,4.687799018,2234.229632,0.9966548128,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-01-27,13:01:35,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,92.98007,-1.085869467,-3.047503948,2141.9104,232.2158751,01:45:00,6.11291,1.27688,5.07331,-20.79093,11.75188,15.19313,3.36465,-0.30586,85.20729,-4.9590044,-0.2121763238,0.4105811027,-8.90739,6.55043,-1.0245,50,6.00583,6.64821,-135.12249,-3.31139,-16.53177,28.37779,-20.01669,dc84bf39-7f57-4ea7-a4f3-5c019bb34d57,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,91.80266,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.1371424,16.46720938,2054.053778,0.958982121,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-01-27,13:01:49,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,94.25937,-2.926426351,-3.24382871,2273.21907,241.9887316,02:00:00,5.95837,1.20776,5.0997,-23.08657,8.65886,16.24352,1.296,-0.46986,86.54882,-7.212264299,-0.2099113344,0.405519772,-9.5394,5.4096,-0.94051,50,5.69256,7.16564,-136.79707,-7.83929,-18.12774,29.37584,-21.89417,3d736e2f-b2e1-4005-accf-eccf48957af0,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,92.94846,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.6678323,9.129374731,2244.423276,0.9873325916,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-01-27,13:02:09,"Reigert, Jake",1000299924,Right,NA,NA,NA,NA,NA,Sinker,Live,NA,93.74909,-1.868200721,-3.604113933,2116.937327,235.8769024,01:45:00,5.95981,1.31979,5.05222,-19.89653,12.26925,18.11687,2.55224,-0.54222,85.72076,-5.574716514,-0.221748361,0.4081957445,-10.63741,7.0475,-1.02003,50,5.78505,7.91537,-136.08664,-5.1684,-19.97713,29.46024,-18.93881,eba8f0ee-9cf6-4d6c-93db-87567e921e13,67cc018e-9bb3-4598-8992-2aa33d6dd3ac,92.33913,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220.3057033,8.537759296,2093.477933,0.9889182386,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
