PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-03-16,09:49:10.28,"Gessner, Josh",1000293932,Right,,,,,,,Live,,75.99913,-0.9090701346,-2.749715458,1703.8732,231.2802103,1:45,6.35445,1.73727,6.07066,-35.24465,12.97231,16.23202,2.57526,0.54389,69.34232,-7.54570736,0.3244601908,0.4997713138,-9.64932,7.32623,-1.53324,50,6.26536,4.87391,-110.48376,-2.69413,-11.84062,21.01614,-23.18407,1823d009-aaab-44bc-9387-df39231ab96c,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,75.41937,Pitching,23360159,,,,,,,,,,,,,,,,,,,,16.22540857,1636.007707,0.960169869,,bea54153-d969-4dc2-a5a8-44dc0d307d24,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
2,2026-03-16,09:49:52.55,"Gessner, Josh",1000293932,Right,,,,,,,Live,,77.70009,-0.232126699,-2.146656752,1907.012536,221.7665649,1:30,6.32464,1.61775,5.89699,-30.56643,16.31087,14.60955,3.56181,0.84164,69.92027,-6.018085243,0.6284934075,0.4927795654,-8.63222,8.91676,-1.45352,50,6.2887,3.82494,-112.89894,-1.30912,-10.93245,24.1503,-20.88124,60a6c24f-d8fc-4b8a-ad4c-b7b9e12d3084,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,76.48945,Pitching,23360159,,,,,,,,,,,,,,,,,,,,25.09693586,1726.974312,0.9055914836,,d28539c2-2abd-4d68-980d-61e0d5ce6b62,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
3,2026-03-16,09:50:14.10,"Gessner, Josh",1000293932,Right,,,,,,,Live,,78.22048,0.5972545342,-1.594768986,1937.605161,192.3029851,12:30,6.27651,1.67131,5.53111,-28.90929,18.33397,4.00863,4.42586,0.51445,69.68614,-4.870544822,-0.8352044662,0.4946993441,-2.71775,9.61426,-1.5356,50,6.30966,3.04229,-113.54204,0.32696,-3.45297,25.96774,-19.95888,b66a5a71-c66a-46db-9ab7-cfaaa50a9969,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,76.19262,Pitching,23360159,,,,,,,,,,,,,,,,,,,,33.5258086,1615.259587,0.8336371202,,f2974833-b5fc-4830-9a5c-7cdc8b3e16c2,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
4,2026-03-16,09:50:46.65,"Gessner, Josh",1000293932,Right,,,,,,,Live,,78.58185,-0.03059339227,-1.790348136,1872.255825,223.1773449,1:30,6.2772,1.62259,6.08236,-31.66004,13.43139,12.64418,3.61055,1.01963,71.39248,-6.015701642,0.6083377859,0.4833017797,-7.42823,7.31986,-1.49123,50,6.25811,3.22602,-114.31539,-0.93045,-9.73799,22.90618,-22.57812,f3e58513-27f4-4da3-82d3-255dbf3a063a,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,77.98945,Pitching,23360159,,,,,,,,,,,,,,,,,,,,30.17102897,1618.619528,0.8645290384,,8eddd52b-cec5-4fbc-bc29-72ca3a78b98d,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
5,2026-03-16,09:51:50.29,"Gessner, Josh",1000293932,Right,,,,,,,Live,,79.98776,-0.5439715492,-3.1800251,1889.736188,223.6533113,1:30,6.31409,1.81769,5.94533,-30.52134,13.31357,12.74951,3.26537,-0.07207,72.64258,-6.294935146,-0.770416446,0.476520361,-7.8715,7.3756,-1.57184,50,6.25373,6.09122,-116.20877,-1.97934,-10.6683,23.58542,-22.17785,3de7b17d-7595-48c3-b9f9-eff728b3e5d8,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,79.09933,Pitching,23360159,,,,,,,,,,,,,,,,,,,,24.51951441,1719.319736,0.9098199775,,ae56e0d1-fcc3-4e09-81f4-ddd972c8440b,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
6,2026-03-16,09:52:21.69,"Gessner, Josh",1000293932,Right,,,,,,,Live,,80.13927,-0.7552523504,-2.869309398,2000.112064,219.5607986,1:15,6.32283,1.65256,6.07739,-29.21749,14.37923,11.91642,3.18844,-0.01104,72.50295,-6.285403062,-0.6061312041,0.4752239289,-7.40098,8.07229,-1.43725,50,6.24906,5.50399,-116.4498,-2.35242,-10.02688,24.59362,-21.23768,1012adc7-85f6-4d27-91f1-258fa77bbbba,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,79.31511,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.88185772,1751.333147,0.8756175109,,f02b990a-4741-4397-b61b-e64fdbbde101,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
7,2026-03-16,09:52:56.62,"Gessner, Josh",1000293932,Right,,,,,,,Live,,82.099,1.234498492,-1.53786758,1884.940074,217.4489913,1:15,6.14286,1.65152,5.81694,-28.60537,13.83373,10.62862,4.90733,1.10721,73.06213,-4.208797992,0.4873756472,0.4688721851,-6.30695,7.04891,-1.53198,50,6.22722,2.8857,-119.21699,1.72233,-8.8294,28.74042,-22.30595,cc995090-f547-4c33-9e73-9aeb3aff5b79,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,80.38958,Pitching,23360159,,,,,,,,,,,,,,,,,,,,19.54369257,1776.342386,0.9423866629,,689de4a3-82a6-4eac-845e-800ce5fd5c40,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
8,2026-03-16,09:53:25.49,"Gessner, Josh",1000293932,Right,,,,,,,Live,,82.15336,0.4899044364,-1.703714234,1893.698013,225.8292394,1:30,6.21757,1.63939,6.30477,-28.57374,12.54753,12.96003,4.2879,1.14958,74.10407,-4.95745225,0.7724003155,0.4615350195,-7.67167,6.73613,-1.52084,50,6.23979,3.20033,-119.5124,0.24084,-10.92412,26.35633,-22.58209,a7ddeb7d-2b6d-4703-9bc5-8953ed3eb517,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,81.66756,Pitching,23360159,,,,,,,,,,,,,,,,,,,,17.47367895,1806.313301,0.9538549911,,13a44ac1-7370-4dbb-95ff-f85367058792,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
9,2026-03-16,09:54:03.67,"Gessner, Josh",1000293932,Right,,,,,,,Live,,79.02511,0.7973155531,-3.071653532,2027.867345,218.6114863,1:15,6.24667,1.75734,6.08848,-29.83091,15.14151,12.14574,4.49931,-0.07425,71.07836,-4.871723548,-0.7609309576,0.4826635803,-7.62973,7.99698,-1.52704,50,6.29251,5.82709,-114.78508,0.7831,-10.00822,24.57874,-21.68409,6882944a-3ab0-430e-83ac-1d09baea22d8,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,78.09257,Pitching,23360159,,,,,,,,,,,,,,,,,,,,28.74934519,1777.896705,0.8767322527,,848822c4-a27e-4d0a-9bf1-a8f1d3677943,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
10,2026-03-16,09:54:45.29,"Gessner, Josh",1000293932,Right,,,,,,,Live,,83.48168,-1.71587728,-3.459628513,1949.302622,230.9442112,1:45,6.02487,1.75862,6.48943,-29.12333,10.58748,13.07811,2.01955,-0.33105,75.4482,-7.266177331,-0.9549114526,0.453550645,-8.36519,6.41843,-1.52198,50,5.89174,6.98181,-121.26046,-4.41646,-12.24996,27.35831,-22.77492,b3617496-62df-4f26-a9a8-c26d0010ae1b,9ffadf54-8e32-43b2-a92a-8a0b84ab1885,83.10525,Pitching,23360159,,,,,,,,,,,,,,,,,,,,14.40197947,1888.044947,0.9685745687,,5cbc83d7-c3ba-4f6c-93ac-c498677757ca,44ca8cfb-af2c-460e-8d5a-5c33fcaf2bdd
