PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2024-11-11,11:28:20,"Kalish, Jake",1000281397,Left,NA,NA,Fastball,Live,NA,82.14266,-0.6436070473,2.061970383,2141.609159,149.614243,11:00:00,6.01242,-1.1969,5.84564,-21.50595,20.42654,-12.00203,3.62184,-0.28036,73.92782,-4.711090523,-0.212828868,0.4660652366,7.1595,11.25228,1.03631,50,5.94768,-3.94007,-119.36324,-1.98224,10.16143,26.45525,-16.20375,29ad9f11-f146-4245-85a4-480479c34026,7035af2a-b6b6-4abe-a51c-5b14d86837cf,80.87374,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.8965059,-29.23120679,1868.888574,0.8726562296,11:30:00
2,2024-11-11,11:28:50,"Kalish, Jake",1000281397,Left,NA,NA,Fastball,Live,NA,83.51359,-2.040000508,2.114568295,2262.860921,154.9427316,11:15:00,5.91639,-1.30708,6.14769,-22.27777,17.54184,-8.21212,2.17312,-0.03693,75.98473,-6.245460077,0.5568377684,0.4541715061,5.11186,10.1776,1.15066,50,5.74984,-4.2462,-121.41765,-4.97046,7.57417,25.42648,-17.09402,be4ef50d-2aa0-4a48-9c0b-dbb17732f15f,7035af2a-b6b6-4abe-a51c-5b14d86837cf,82.99164,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.6170125,-33.64945483,1883.703347,0.8324432708,11:15:00
3,2024-11-11,11:29:48,"Kalish, Jake",1000281397,Left,NA,NA,Fastball,Live,NA,84.2873,-1.848637579,1.778765794,2157.856292,135.5839771,10:30:00,5.93307,-1.36349,5.66541,-25.30784,14.34305,-14.07166,2.09918,-0.87726,77.0349,-6.571860142,-0.8624744538,0.4532083426,8.04307,8.20865,1.22221,50,5.76115,-3.35626,-122.52037,-4.76326,12.19033,24.86291,-19.73276,5cae6d08-915f-4802-8857-465b0fea92d5,7035af2a-b6b6-4abe-a51c-5b14d86837cf,83.16802,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.4008785,-33.95563072,1789.87783,0.8294703574,11:15:00
4,2024-11-11,11:30:08,"Kalish, Jake",1000281397,Left,NA,NA,Fastball,Live,NA,83.07775,-2.465435662,2.984471312,2230.929674,149.5210816,11:00:00,5.87,-1.45394,6.10523,-24.8084,15.44402,-9.10124,1.51853,0.54962,75.92087,-7.128185623,1.26395783,0.4566331052,5.81423,9.11544,1.22967,50,5.66753,-6.02828,-120.68707,-5.92267,8.54275,24.32225,-18.78088,ed6281ab-a7fb-45b5-b939-c4dadec45471,7035af2a-b6b6-4abe-a51c-5b14d86837cf,82.54425,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.4856016,-30.07306817,1930.617671,0.8653870597,11:30:00
5,2024-11-11,11:30:29,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,73.5958,-0.1811305604,0.9797588809,1419.864108,98.2496204,09:15:00,5.84655,-1.50214,5.53985,-51.20849,1.3849,-9.85218,1.40989,-1.4075,67.26972,-9.720776884,-0.873812341,0.5219597003,5.5685,0.7963,1.42376,50,5.79751,-1.55137,-106.97887,-1.78396,6.37733,20.4801,-31.26208,7581aecb-38e4-4244-af05-ca52ebdb9aba,7035af2a-b6b6-4abe-a51c-5b14d86837cf,72.21331,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.9086106,-62.17596905,662.7323769,0.4667576095,11:00:00
6,2024-11-11,11:30:52,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,73.8809,-2.273873671,3.435463296,1351.507123,120.0701804,10:00:00,5.87228,-1.50931,5.52819,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67528,3.35159,1.21677,50,5.64363,-6.18326,-107.21951,-5.60475,6.60396,18.60558,-28.27402,559f71b8-2c25-4623-823c-0afe5623d5b4,7035af2a-b6b6-4abe-a51c-5b14d86837cf,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.4796389,-62.36835291,626.8093465,0.4637854553,11:00:00
7,2024-11-11,11:31:20,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,75.27024,-1.78847373,2.597133203,1539.880204,162.7294786,11:30:00,5.82664,-1.39462,5.58461,-41.98103,8.25913,-2.58106,0.65605,0.81691,68.85196,-9.591196377,2.112405983,0.5101488646,2.17656,4.96534,1.17338,50,5.6461,-4.88324,-109.28776,-4.61969,2.60658,21.02441,-26.2277,1f3d7be9-3c3e-4774-a6bb-1da70faaf0dd,7035af2a-b6b6-4abe-a51c-5b14d86837cf,73.88518,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.7187582,-62.34481672,714.7343948,0.4641493493,10:45:00
8,2024-11-11,11:31:58,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,75.7509,-2.547376893,2.442126409,1243.127795,147.1571095,11:00:00,5.82295,-1.57679,5.68628,-38.44498,11.12041,-7.19571,0.24149,0.10084,69.09102,-9.710652809,1.085547491,0.5067113807,4.63232,6.77394,1.37598,50,5.58495,-4.48534,-109.94207,-5.98337,5.59903,21.76196,-23.98647,9a944cd1-42f5-45a3-b766-cb3d4a8f3f5b,7035af2a-b6b6-4abe-a51c-5b14d86837cf,74.38641,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.8305911,-41.05398796,937.4315595,0.7540910621,10:45:00
9,2024-11-11,11:32:25,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,73.71832,-1.214426725,2.006000737,1240.711105,123.8718028,10:15:00,5.8298,-1.61738,5.79528,-42.15165,10.1597,-15.18942,1.18685,-1.01677,66.78599,-9.132486641,-0.8746057572,0.520558324,8.87173,5.89167,1.46158,50,5.70525,-3.34192,-107.07771,-3.40506,10.10456,21.7647,-25.46366,91d71491-dc4a-4065-a467-c80e6deb7281,7035af2a-b6b6-4abe-a51c-5b14d86837cf,72.40772,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.5614835,-50.4032693,790.8044729,0.6373800231,10:45:00
10,2024-11-11,11:32:48,"Kalish, Jake",1000281397,Left,NA,NA,Fastball,Live,NA,84.51034,-2.351646222,1.8690304,2190.859265,148.0876951,11:00:00,5.90903,-1.55862,6.1201,-19.2505,19.65583,-12.24672,2.12868,-0.85091,76.89937,-5.982787917,-0.4527214125,0.448932995,7.2264099999999996,11.40606,1.42212,50,5.71909,-3.64961,-122.85976,-5.61341,10.97151,25.86195,-14.85679,12011141-b054-4bc2-8141-f18164cce238,7035af2a-b6b6-4abe-a51c-5b14d86837cf,83.96006,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.0876225,-30.13938987,1894.669193,0.8648064361,11:30:00
11,2024-11-11,11:33:15,"Kalish, Jake",1000281397,Left,NA,NA,ChangeUp,Live,NA,75.60378,-1.233404565,3.497506334,1476.613982,112.790273,09:45:00,5.7944,-1.46638,5.55738,-47.4031,1.94254,-4.71423,0.68959,1.41214,70.05017,-9.980816243,2.619138922,0.5055868966,3.45593,1.36815,1.16746,50,5.65675,-6.57334,-109.80435,-3.75404,4.23108,18.9358,-30.49903,a9771aaa-161b-4d6c-bada-0c0b2025ce8e,7035af2a-b6b6-4abe-a51c-5b14d86837cf,74.55185,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.00743913,552.9715696,0.3744862073,NA
