PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
11,2024-10-17,14:19:17,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,79.27743,-1.540990257,3.168023963,2057.069658,162.4124925,11:30:00,5.98099,-1.02132,5.14108,-21.67905,25.18463,-8.00095,2.72107,1.2975,70.5285,-5.606506159,1.663857957,0.4927079619,5.36897,13.87214,0.7307,50,5.82061,-6.09993,-114.81494000000001,-3.78425,6.97027,26.68985,-14.16455,0c1c87ff-80c3-49e7-9e49-70002cd3dd23,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.50057,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.9563651,0.7570960369,2056.890073,0.9999126988,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-10-17,14:19:39,"Madison, Bryce",1000361960,Left,NA,NA,Splitter,Live,NA,71.63671,1.309032882,1.468227255,736.5338796,84.33774939,08:45:00,5.94133,-1.23782,4.12315,-60.3278,-1.54323,-14.98302,2.17029,-1.07776,65.1599,-9.679066258,-1.284145834,0.5518271485,8.08725,-1.20141,1.0897,50,6.02551,-2.15993,-103.80761,0.3566,8.70316,19.61026,-33.46695,65503cfc-5343-495d-a431-4556b27a341b,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,68.30479,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2466620915,736.5270543,0.9999907332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-10-17,14:20:45,"Madison, Bryce",1000361960,Left,NA,NA,Splitter,Live,NA,70.14804,4.276816545,1.840643302,693.3126162,133.3366222,10:30:00,5.85104,-1.22876,4.03625,-52.20852,10.40767,-11.08857,5.61897,-0.38384,62.15168,-5.342561467,-0.2072503992,0.5695275676,6.30203,3.7633,1.03254,50,6.28062,-2.89183,-101.23172,5.87286,6.36263,20.69283,-28.37456,d64380f2-07f6-4011-9f54-e9e43cdaa12f,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,66.18194,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.45981181,603.6679021,0.8707008757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2024-10-17,14:21:15,"Madison, Bryce",1000361960,Left,NA,NA,Splitter,Live,NA,71.10248,0.8686972832,2.754786549,844.5534702,159.4856861,11:15:00,5.78406,-1.29346,3.93957,-48.05361,12.8668,-4.83973,2.61668,0.95653,63.4837,-7.93745064,1.863653016,0.5617625867,3.4407,6.21566,0.98299,50,5.83264,-4.78437,-102.79889,-0.0482,3.58237,21.33022,-25.70247,db5e09b8-db0c-4de7-91ba-4be407b5b070,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,67.09674,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03345874492,844.5533262,0.9999998295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2024-10-17,14:21:59,"Madison, Bryce",1000361960,Left,NA,NA,ChangeUp,Live,NA,71.50682,1.71792141,2.981047972,980.9416176,87.4734115,09:00:00,5.8859,-1.47391,4.00423,-60.23623,-0.78417,-16.093139999999998,2.5203700000000002,0.05323,64.80262,-9.247323979,0.03174946867,0.5549512949,9.10869,-0.94842,1.15266,50,6.01748,-4.84455,-103.46421,1.07316,9.7301,19.60356,-33.18718,23abb63b-b4ff-4444-9db1-7509648ef178,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,67.92026,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.47065113,899.782635,0.917264207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2024-10-17,14:22:29,"Madison, Bryce",1000361960,Left,NA,NA,ChangeUp,Live,NA,71.61167,0.5692106957,3.104555721,973.580679,92.94669219,09:00:00,5.73779,-1.35663,4.43478,-57.22379,0.60947,-12.93059,1.51286,0.52977,65.61831,-9.860661043,0.7281319605,0.5473438479,7.55355,0.14404,1.03989,50,5.74436,-5.21195,-103.80272,-0.81742,8.19051,18.38026,-32.01786,300faecd-65c4-4d70-815b-80ac7d37cd7b,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,68.86428,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1669555558,973.5765457,0.9999957545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2024-10-17,14:23:33,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,79.09868,-2.79029796,1.883125634,2010.950038,156.2352787,11:15:00,5.92088,-0.98495,5.14346,-24.05364,22.7331,-10.01342,1.28611,-0.04598,71.01403,-7.270698827,0.00382861057,0.49230331980000003,5.92796,12.95372,0.81632,50,5.64187,-3.44888,-114.63146,-6.35877,7.72044,25.3803,-15.30341,e2289da4-64c9-4f19-b7d2-f3494c9227cd,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.56345,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.4788387,1.272861389,2010.453823,0.9997532432,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2024-10-17,14:24:19,"Madison, Bryce",1000361960,Left,NA,NA,Cutter,Live,NA,75.05475,0.3904771045,2.27139246,1799.808574,155.991191,11:15:00,5.70046,-1.51119,4.92947,-42.05703,9.38863,-4.20464,2.56507,0.28633,68.63963,-7.360635617,1.492972074,0.5162329995,2.84579,4.78506,1.29369,50,5.70442,-4.18914,-108.9877,-0.59452,3.41199,19.72612,-26.43696,7ab77198-0f12-4a4b-8095-04512ec03016,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,73.01439,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.7203484,-49.60340461,1166.410308,0.6480746481,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-10-17,14:24:43,"Madison, Bryce",1000361960,Left,NA,NA,Cutter,Live,NA,75.08876,0.4746005514,2.909683159,1860.942493,167.8644669,11:30:00,5.82722,-1.28584,4.66788,-42.88821,8.89333,-1.92421,2.70453,1.31953,68.91743,-7.372811899,2.556213055,0.517915444,1.79597,4.46066,0.99118,50,5.83779,-5.47508,-108.97225,-0.51545,2.16137,19.0011,-26.80585,25a668dc-e239-4b26-9ca4-e93e827f0a66,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,72.77721,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.2862992,-49.68936028,1203.902122,0.6469313944,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2024-10-17,14:25:36,"Madison, Bryce",1000361960,Left,NA,NA,Slider,Live,NA,70.86996,3.770198531,0.5918389007,1664.825605,254.5562711,02:30:00,5.6934,-1.56148,4.32553,-58.8806,0.48669,1.93202,4.39519,-0.83485,64.42116,-7.001197998,0.9465783004,0.5545554878,-0.81272,-0.86578,1.49583,50,6.0431,-1.1229,-102.63897,4.85477,-0.86181,17.93336,-33.09212,756042e7-8d98-404c-b71f-1c62b4442b91,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,67.96874,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75.20800148,425.0478512,0.2553107365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
