PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-05-17,10:08:35,"Taylor, Curtis",1000312224,Right,NA,Windup,NA,Warmup,NA,73.10737,-1.529745548,-4.713119584,1767.92104,217.9483529,01:15:00,6.67224,2.14944,6.81206,-37.12605,13.83792,10.83869,2.17777,-1.25676,66.70888,-8.601022985,-2.637410932,0.5138105614,-7.50492,8.20446,-1.8496,50,6.5594,8.5136,-106.1369,-3.65554,-8.4771,19.82557,-22.90679,9503cf56-4891-4514-b893-9d487866cc71,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,73.35863,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.48269206,1711.742221,0.9682232311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-17,10:09:23,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,78.1859,0.46807075930000003,-0.9907092391,1850.069893,223.754211,01:30:00,6.43237,1.91376,NA,-32.86229,15.22053,14.6147,4.13565,2.19661,69.94323,-5.673141161,1.74929545,0.4990756372,-8.02914,7.84176,-1.83018,50,6.45175,1.49104,-113.43487,-0.13127,-10.21647,25.28331,-22.196,d57446b3-bcb8-4a17-80ea-e9678b629a9a,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35522174,1734.540654,0.9375541221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-17,10:09:35,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,80.90031,-0.9857934437,-2.26959651,1971.293899,225.9572857,01:30:00,6.39335,1.79706,6.37434,-29.03419,13.30414,13.79187,3.06618,0.85744,73.1228,-6.514555114,0.368548206,0.4683151979,-8.33339,7.64871,-1.63999,50,6.30887,4.2967,-117.64876,-2.79653,-11.4956,25.60468,-21.62294,2ddf518e-b966-44be-a5f2-bd7e7f56431f,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,80.48519,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.16076695,1862.086856,0.9446013389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-17,10:09:48,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,80.4773,0.7000301284,-2.54588122,1803.839974,230.5141101,01:45:00,6.38911,1.81348,6.18209,-32.47831,10.92651,13.32645,4.32958,0.57191,72.06945,-5.498791202,0.003182730945,0.4741769183,-8.18346,5.74618,-1.62822,50,6.42563,4.83566,-116.92382,0.54497,-11.06847,26.76767,-24.4021,03bf08de-5023-471d-a008-4454ee958e5a,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,79.49024,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.9949731,26.40030897,1615.716353,0.8957093625,01:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-17,10:10:02,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,81.41256,0.1077922092,-0.77785803630000006,1916.964542,215.1595452,01:15:00,6.34446,1.89514,6.53044,-26.65042,15.23622,10.75764,4.22247,2.07812,72.73507,-5.020493102,1.297670694,0.4658103567,-6.25221,8.42409,-1.84587,50,6.34053,1.33249,-118.45152,-0.46021,-8.64653,28.23527,-20.5239,d7ab6daf-eba4-4af7-a49f-f81519904ee7,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,80.91799,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.93731819,1843.281542,0.961562669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-17,10:10:22,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,83.19898,-0.4111183157,-1.074416269,1996.297137,234.5462112,01:45:00,6.31646,1.65152,6.17944,-27.60109,12.56963,17.69844,3.6367,2.13423,75.3863,-5.643741684,2.294116877,0.4561694991,-10.0129,7.00046,-1.57946,50,6.2715,1.76662,-121.06092,-1.6545,-14.671,26.43345,-21.91691,c40c41b7-443b-4d3b-a931-0f30ee99fe90,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,82.62814,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45396582,1802.518343,0.9029308863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-17,10:10:39,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,82.93033,-1.937124342,-2.421139558,2063.437518,216.9597918,01:15:00,6.19872,1.59819,7.97227,-22.16458,15.54628,11.7127,2.62149,0.41322,75.33045,-6.274863454,-0.1183135404,0.4419820084,-7.59745,9.68322,-1.49354,50,6.10908,4.90374,-120.90431,-4.48715,-11.10565,26.31464,-18.0195,ee9da694-7a36-4749-8558-90b266bb6284,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,85.28048,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.8171304,14.92147912,1993.857615,0.9662796171,01:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-17,10:10:57,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,82.72884,-1.442457413,-2.665875006,1930.448207,231.5420349,01:45:00,5.9929,1.7353,6.489,-26.92803,13.04335,16.45276,2.42312,0.65753,75.49177,-6.552985507,0.4712159848,0.4550362496,-9.86284,7.62201,-1.5559,50,5.87988,5.16401,-120.35051,-3.75353,-14.38643,24.55126,-21.05621,3d0f063d-1314-41ce-8e18-a6629dca1682,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,82.83393,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.93820547,1750.459126,0.9067630613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-17,10:11:13,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,82.53873,-3.713035424,-4.75812719,1966.315047,222.2769243,01:30:00,5.78482,1.95274,7.26028,-22.54716,16.95255,15.38857,0.53125,-1.07834,74.91486,-8.051085083,-1.780979348,0.4523435553,-10.24363,10.80716,-1.68775,50,5.56725,9.62454,-119.69156,-8.28978,-14.67773,25.74761,-16.68885,c5e4409a-6c9a-4e07-a67d-b17581779b34,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,83.32702,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.9555291,7.81216293,1948.065693,0.990719008,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-17,10:11:31,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,80.31249,-1.746275205,-1.107850154,2196.837991,169.7630858,11:45:00,6.30163,1.50936,6.36124,-34.54503,7.71214,-1.39889,1.81525,0.37326,74.18575,-8.237099772,-1.372947592,0.4678661406,0.46744,4.70024,-1.42868,50,6.15912,2.29926,-116.95637,-4.49385,0.64919,21.50732,-25.64629,391fb2ad-5e5e-4d82-848e-3e5857ecaa90,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,80.56244,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.5881752,67.85019898,828.2726236,0.377029452,12:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-05-17,10:11:48,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,79.94833,-0.3748086778,-0.9747305336,2113.801305,203.0897896,12:45:00,6.25764,1.66695,5.74614,-31.53193,12.56092,5.37113,3.28102,1.20709,72.68526,-6.295288505,0.03799202858,0.4779202976,-3.18388,6.86782,-1.58933,50,6.20748,1.8188,-116.27752,-1.69731,-4.32067,23.59359,-22.85412,73d15160-70fd-41c6-ba14-fc2816ce08eb,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,78.86763,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.7168256,64.03872218,925.3453011,0.4377636152,12:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-05-17,10:12:05,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,78.69923,0.3476878478,-1.271876879,2168.795768,168.3999433,11:30:00,6.34202,1.58555,NA,-41.23797,4.85079,-1.00382,3.23088,0.31183,71.52584,-7.357963833,-1.460393335,0.4886173836,0.13994,2.4773,-1.47347,50,6.34502,2.57001,-114.37672,-0.56324,0.1833,23.30664,-28.92924,9ceb9fb7-e1c7-4dba-8b75-6475124c8193,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.59620828,539.4965911,0.2487539856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-05-17,10:12:25,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,75.1258,-1.617939641,-1.220193567,2484.94904,86.20551696,08:45:00,5.81499,1.93089,7.016,-48.86449,-0.90696,-12.95215,0.27196,-0.25744,68.75968,-10.93550676,-3.726576984,0.4984249853,6.90177,0.02737,-1.85234,50,5.70009,2.60581,-109.39548,-4.1309,8.20616,22.6888,-32.14151,b3636725-208c-4a10-baf8-bd7e39672b30,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,75.62309,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2024-05-17,10:12:46,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,74.40606,1.680094419,1.910155386,2572.856867,75.67003666,08:30:00,5.87694,1.92311,4.85004,-57.67647,-4.86487,-18.80201,2.66217,2.16496,67.90925,-8.948330873,-1.579037056,0.5230413894,10.37713,-3.04645,-2.09597,50,5.99509,-3.00413,-107.95897,1.33888,12.13502,20.40126,-35.73657,548145e8-53ef-4299-bfa8-7fb24acca92c,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,72.06397,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2024-05-17,10:13:04,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,75.51409,1.640032242,-0.2575235385,2376.673642,83.4254096,08:45:00,5.7576599999999996,1.85989,NA,-55.77327,-2.15648,-18.33579,2.69329,0.08335,68.49072,-8.471794708,-3.603275755,0.5270135526,9.1356,-1.60972,-1.80919,50,5.88764,1.16334,-109.36964,1.08814,10.90435,21.91014,-34.09543,e0c9a328-eafa-4b15-b267-9065469cdfcd,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2024-05-17,10:13:21,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,79.55872,-1.655506711,-4.091450506,1813.171838,258.0612033,02:30:00,5.70366,1.82954,6.52126,-39.85771,3.95668,18.74297,0.85919,-0.36826,72.06059,-9.237765118,-0.4968770189,0.4764088304,-11.74989,2.74476,-1.55314,50,5.57118,7.78764,-115.47375,-4.35033,-15.5691,25.24285,-28.53712,6c5cc68b-897d-4687-99f6-f2ccfa56be69,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,79.11784,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.2033503,31.94216176,1538.626073,0.8485826003,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2024-05-17,10:13:39,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,78.68884,-0.8795471521,-3.550474952,1727.003175,251.9591688,02:30:00,5.79285,1.77981,6.46108,-39.2292,5.11093,15.78766,1.71436,-0.16952,71.95256,-8.307955436,-0.5423972072,0.4792585426,-9.76443,3.08078,-1.53637,50,5.71314,6.69429,-114.38548,-2.76077,-12.84847,22.4449,-28.12022,5876e588-51bd-471b-91ae-9272d2c91338,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,78.6474,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.3970975,35.12561105,1412.503134,0.81789261,01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2024-05-17,10:14:01,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,84.63678,1.164872714,-2.165357292,1959.291035,228.1875155,01:30:00,6.06204,1.77341,6.38588,-26.69098,11.80291,13.24904,4.91006,0.88502,76.54245,-3.924306951,0.363389922,0.4465470733,-7.9637,6.13636,-1.62404,50,6.13337,4.2868,-123.12336,1.76283,-12.09186,26.92406,-22.85677,cff757b3-33b4-4f28-b863-199119185813,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,84.40866,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.5259251,27.98875038,1730.131872,0.8830397532,01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-05-17,10:14:20,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,84.31489,-2.405425375,-1.870599302,1988.889587,229.8756453,01:45:00,5.74282,1.8995,6.52502,-24.45362,14.32791,17.00505,1.49607,1.60009,76.30464,-7.062329648,1.391478131,0.4482124252,-10.02474,8.71576,-1.77708,50,5.56523,3.54811,-122.58935,-5.80759,-15.01536,27.78901,-19.11932,101b8edd-5459-4d6d-b084-bbb56e0a7061,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,84.09503,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.36949273,1797.08814,0.9035635523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2024-05-17,10:14:40,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,86.57409,-2.604573671,-4.678826673,1922.581055,257.0876499,02:30:00,5.80056,1.66219,6.71083,-32.17082,4.2051,18.22162,0.72934,-1.10556,79.2519,-8.706409788,-1.199542171,0.4340886448,-11.50468,3.10266,-1.35946,50,5.61482,9.79681,-125.62152,-6.58886,-18.2944,26.60723,-27.24029,f5f4e6ef-c32f-4ac0-ade5-ac4fadbdc3a8,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,86.8312,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235.547424,27.79320797,1700.784907,0.884636256,01:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2024-05-17,10:15:06,"Taylor, Curtis",1000312224,Right,NA,NA,NA,Warmup,NA,80.26738,-1.139490149,-1.137994117,NA,NA,NA,6.26278,1.46743,6.48585,-27.46064,12.71241,-0.84429,2.92802,0.35228,77.46021,-6.204822271,-1.294446094,0.4561826872,0.31837,7.05695,-1.38732,50,6.17012,2.35362,-117.32208,-3.08514,0.46869,10.44547,-21.78504,87e91585-bcae-41fc-b4bc-2172c85df612,49fc8ac9-10c4-4c8c-bc87-1c4413790dea,82.62576,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
