PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2024-08-07,12:27:35,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,77.97676,1.178541537,0.904219388,1976.73167,181.7435987,12:00:00,5.60215,-1.60664,5.96206,-30.27908,15.47109,0.47207,4.17183,-0.72891,71.0772,-4.527218839,0.9933141444,0.4868192521,0.00453,8.03328,1.53478,50,5.6786,-1.80418,-113.47462,1.4866,0.00589,21.40789,-21.73439,bd7385da-735e-4277-8194-b6c5e6de3bfe,d4b22746-792a-43f4-badb-87370f86578c,77.42594,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.0703045,-48.25149312,1316.230945,0.6658622237,11:00:00
2,2024-08-07,12:28:06,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,78.07449,3.034469229,0.365526526,1907.562907,186.8387635,12:15:00,5.61455,-1.38278,5.87317,-30.91958,14.84866,1.78282,5.85863,-0.89475,71.14047,-2.779226186,0.7010194905,0.4869154001,-0.85914,7.15749,1.35224,50,5.84184,-0.77499,-113.50085,5.13441,-1.12046,20.81989,-22.83948,51a4efdd-3822-4fe8-b105-3135179cc567,d4b22746-792a-43f4-badb-87370f86578c,77.41065,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.5052407,-53.0079859,1147.787665,0.6017037032,11:15:00
3,2024-08-07,12:28:20,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,79.13284,0.4564621414,0.7281945453,1929.548994,97.07296691,09:15:00,5.51041,-1.37726,5.79887,-42.67073,1.71049,-14.0962,2.37906,-1.87471,73.07815,-7.49791097,-1.9144095270000001,0.47948062,7.76267,0.79735,1.32597,50,5.52231,-1.04903,-115.21389,-0.33934,10.47992,20.52823,-31.09759,a661d37e-040f-4c37-a687-4f81dfbe3a63,d4b22746-792a-43f4-badb-87370f86578c,78.61097,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.8412308,1319.854644,0.6840223533,NA
4,2024-08-07,12:28:36,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,80.46762,-0.03994491811,0.4762888266,1935.64221,118.1908151,10:00:00,5.54094,-1.25444,5.98533,-35.64648,7.48708,-14.03617,2.53338,-1.98273,73.2717,-6.756319747,-2.181624778,0.4726928394,7.75885,4.07329,1.22464,50,5.51819,-0.5714,-117.09106,-1.10251,10.66983,24.06114,-26.57253,5df3f61a-e811-496b-b7b4-5523f185d224,d4b22746-792a-43f4-badb-87370f86578c,79.73981,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.5218987,-46.14134263,1341.17111,0.6928817233,11:00:00
5,2024-08-07,12:28:54,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,80.35456,1.525981239,1.353954931,1920.802295,123.8586543,10:15:00,5.56642,-1.17903,6.1224,-35.07882,8.69208,-13.021,4.05441,-1.0124,71.6663,-5.179595825,-1.140632704,0.4761723001,7.61315,4.21166,1.08226,50,5.66508,-2.40224,-116.75035,2.14877,10.22229,27.5489,-26.51899,a3064a75-a218-4ce4-b82a-1be571c08e9c,d4b22746-792a-43f4-badb-87370f86578c,79.15714,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-08-07,12:29:14,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,78.74365,0.435475583,1.145587958,1966.112192,177.9923198,12:00:00,5.54231,-1.12003,6.05877,-31.39185,13.84503,-0.48675,3.32942,-0.10029,70.98057,-5.523475534,1.052943446,0.4840806125,0.64051,7.40064,1.0315,50,5.55942,-2.27665,-114.51809,0.00852,0.83613,24.50063,-22.51324,87edf31e-4891-4c56-96cf-61956eebf9fb,d4b22746-792a-43f4-badb-87370f86578c,77.86397,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.4610704,-49.06236175,1288.26985,0.6552372012,11:15:00
7,2024-08-07,12:29:29,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,80.87627,-0.1654900908,1.353895032,2005.931581,105.3473955,09:30:00,5.52006,-1.44046,5.38264,-39.6661,4.60664,-16.91946,2.05941,-1.58127,72.73038,-7.601161601,-1.83770081,0.4788942552,9.47958,2.51095,1.3311,50,5.47819,-2.24196,-117.41635,-1.58903,12.93268,26.9483,-28.74844,9e3647e4-795a-4f30-8a48-ae39423d733e,d4b22746-792a-43f4-badb-87370f86578c,78.70723,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.585973,-46.70558173,1375.562467,0.6857474504,11:00:00
8,2024-08-07,12:30:02,"Haworth, Aidan",1000335255,Left,NA,NA,Fastball,Live,NA,78.7596,2.361518942,1.040293936,2036.229172,171.7390994,11:45:00,5.55376,-1.30398,6.14156,-29.80206,14.68193,-2.13579,5.25386,-0.52064,71.82983,-3.269932175,0.6364070445,0.4800354101,1.4536,7.33038,1.22597,50,5.718,-2.02225,-114.58972,3.90969,1.93152,21.29954,-22.43354,d9116c5c-cb9d-4f52-ac30-92489405b866,d4b22746-792a-43f4-badb-87370f86578c,78.52012,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.8166659,-49.54363312,1321.245537,0.6488687793,11:15:00
9,2024-08-07,12:30:16,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,80.308,1.304296582,0.168795452,2016.775366,138.8440932,10:45:00,5.59989,-1.16574,NA,-32.27193,14.00214,-12.27025,4.15047,-2.02783,71.67788,-4.693403239,-2.115963539,0.4895986644,6.42522,6.81233,1.15917,50,5.7054,0.08505,-116.41657,1.52489,8.60995,26.65531,-23.04535,2d34c1ff-b024-4a1b-950e-fe06f576995f,d4b22746-792a-43f4-badb-87370f86578c,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.1457611,-51.06149716,1267.514873,0.6284858962,10:45:00
10,2024-08-07,12:30:37,"Haworth, Aidan",1000335255,Left,NA,NA,Sinker,Live,NA,79.49072,-1.913395744,3.264155293,1983.24243,133.4551885,10:30:00,5.56243,-1.03726,6.15721,-31.19622,12.87392,-13.61351,1.19179,0.84668,72.40457,-7.794671254,0.6814535029,0.4777972136,8.42174,7.60783,0.79663,50,5.40118,-6.21259,-115.45974,-4.71665,11.26698,23.28934,-21.99595,dd5cf315-2e07-4ec4-aa54-1795e447c343,d4b22746-792a-43f4-badb-87370f86578c,78.88794,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5803228,-43.79503674,1431.544413,0.7218201825,11:15:00
