PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-05-03,12:09:07,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,57.92046,0.1701970931,0.808185767,1427.886009,143.9849877,10:45:00,5.94071,-1.43667,4.40322,-70.14978,18.77773,-13.70597,0.25733,-1.80751,53.24324,-12.57362548,-1.722492535,0.6787181414,7.29809,9.59021,1.3636,50,5.89274,-0.82727,-84.00991,-1.58178,5.14087,12.90425,-25.41859,233fad54-ef47-4d5a-8c76-89edae1de3a6,3439f6ce-930f-48e9-8385-e479ce23ce56,55.53475,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.25114181,1363.651179,0.9550140347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-05-03,12:09:22,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,67.04489,-0.3262886643,1.343919837,1717.685546,151.7678346,11:00:00,5.88362,-1.2704,4.47187,-45.54761,20.3174,-10.94032,1.7769,-0.90093,61.16483,-8.656055597,-0.6726599423,0.584115545,6.03051,10.54275,1.13915,50,5.80704,-1.95306,-97.28841,-1.92534,5.73069,16.47509,-22.15546,ecaa8f69-6069-4c21-9b05-fa655ebe3ee6,3439f6ce-930f-48e9-8385-e479ce23ce56,64.52908,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.75916247,1595.300937,0.9287502832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-05-03,12:09:38,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,70.1769,0.5645338903,0.9375433572,1777.700179,141.8229565,10:45:00,5.83827,-1.25659,5.03268,-43.51552,15.38352,-12.13686,2.74462,-1.38349,63.83176,-7.497400968,-1.323285964,0.552364213,6.65256,7.89438,1.17658,50,5.85829,-1.31422,-101.93011,-0.26414,6.92945,18.30776,-23.9511,603ef59b-e086-42b5-829f-e63edf51e8c9,3439f6ce-930f-48e9-8385-e479ce23ce56,68.23838,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.42552419,1643.263705,0.9243761822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-05-03,12:09:54,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,72.55238,-1.034366579,2.28778756,1766.981003,137.8674253,10:30:00,5.82958,-1.28502,4.50905,-40.7394,15.42682,-13.99726,1.44853,-0.27123,66.207,-8.482408757,-0.2911920552,0.5393975649,7.88481,8.24622,1.05859,50,5.68393,-3.74994,-105.22986,-3.22301,8.77863,19.03574,-22.99304,89114f9e-ae58-41bc-aef0-39f04bdea09d,3439f6ce-930f-48e9-8385-e479ce23ce56,69.87877,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.9647445,-20.46177254,1655.494463,0.9369056374,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-05-03,12:10:13,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,68.8734,1.429854107,2.272356751,1448.151535,93.4194604,09:00:00,5.55421,-1.58784,NA,-64.19406,1.00059,-17.96173,1.58558,-0.89117,61.91247,-10.26327016,-1.030099699,0.5811354472,9.87494,-0.00345,1.34196,50,5.65079,-3.35919,-99.57412,0.37163,9.65399,19.90217,-32.17742,7db936e2-7cf2-4d72-a4bf-cacfda186f99,3439f6ce-930f-48e9-8385-e479ce23ce56,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.0263118,-32.38225592,1222.955031,0.8444938266,10:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-05-03,12:10:30,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,69.41578,0.4125784396,0.826944938,1407.683327,101.4417247,09:30:00,5.55796,-1.51521,NA,-59.66176,3.28734,-16.51148,0.98366,-2.09445,63.48726,-10.36564733,-2.188666591,0.5710395163,8.57791,1.52915,1.43776,50,5.54047,-0.9008,-100.62118,-1.26831,8.69877,17.98195,-30.62335,ac26804c-f312-4a57-a71c-6f5d4cc54bdb,3439f6ce-930f-48e9-8385-e479ce23ce56,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.47061235,1237.440551,0.8790617372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-05-03,12:10:52,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,68.66255,1.811068568,1.320768767,1174.795961,76.76081061,08:30:00,5.52988,-1.4485,5.26151,-64.93215,-3.60169,-15.04124,1.8211,-1.46105,62.61841,-10.25008622,-1.499299839,0.5636500337,8.38655,-2.48885,1.33854,50,5.64894,-1.88544,-99.67373,1.37121,8.31133,18.24598,-34.64058,70057a0d-fcea-45dd-86f1-4b6630898dd7,3439f6ce-930f-48e9-8385-e479ce23ce56,66.87206,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.74863659,-26.11272055,1054.884397,0.8979298803,09:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-05-03,12:11:20,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,67.67773,1.952303365,2.896813911,1254.091356,71.90348706,08:30:00,5.66213,-1.5587,4.75656,-70.76529,-5.33254,-16.07775,1.6192,-0.14953,60.84138,-11.15930416,-0.1129462525,0.5821957288,9.45938,-3.50223,1.28157,50,5.79899,-4.4941700000000004,-97.92165,1.31367,8.90772,19.80361,-35.47203,89f87a37-3dd5-4db1-872f-f805bbe4b94b,3439f6ce-930f-48e9-8385-e479ce23ce56,64.74187,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.5216313,-43.27986709,912.9956874,0.7280136994,09:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-05-03,12:11:44,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,69.03088,0.4985002117,3.041300386,1196.171179,80.70793259,08:45:00,5.5298,-1.52142,5.02534,-64.72151,-2.79855,-16.7646,0.60734,-0.04641,62.47479,-11.49712505,-0.103843355,0.5663661106,9.9001,-1.64948,1.24353,50,5.52767,-4.83957,-100.01195,-0.95902,9.77137,19.96569,-33.80208,a81d16e1-ebb1-44de-8044-8ce48f0cd176,3439f6ce-930f-48e9-8385-e479ce23ce56,66.55137,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.04922718,-40.35545115,911.5326851,0.7620420061,08:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-05-03,12:12:05,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,74.78765,-0.2979368251,2.119291262,2036.141644,182.2414254,12:00:00,5.62939,-1.45016,5.01541,-41.10435,10.60755,0.41715,1.92268,0.58536,68.40982,-7.878547567,2.196679015,0.5175670824,0.40107,5.63944,1.24693,50,5.56856,-4.03228,-108.612,-1.85037,0.47673,19.89643,-25.47072,21554fd1-5809-444b-b238-24cc923cb712,3439f6ce-930f-48e9-8385-e479ce23ce56,72.82619,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.89573961,1021.277881,0.5015750666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
