PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
1,2024-02-22,10:23:22,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,67.4759,1.68979682,2.741152667,1106.589734,95.31591444,09:15:00,5.77513,-1.73328,3.87889,-65.10095,1.44098,-16.34234,1.96574,-0.47597,60.66552,-10.29080213,-0.2930351039,0.5871094944,9.3927,0.1385,1.45556,50,5.89478,-4.1810600000000004,-97.61241,0.9211,8.82041,19.18679,-32.04399,86ec4afa-bd9f-456c-9497-6b2e127393d9,02754055-7d4d-423e-8d5f-1571cb8941d5,64.20002,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-43.5051581,802.6232539,0.7253123984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-02-22,10:23:55,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,68.07547,0.2422615447,2.849168515,1122.522283,71.75041471,08:30:00,5.58976,-1.60913,4.41996,-68.76037,-4.88944,-14.67517,0.08904,-0.13644,61.86716,-12.44109575,0.1019747019,0.5752054826,8.69614,-2.64904,1.34312,50,5.55856,-4.49286,-98.63262,-1.53125,8.35385,19.3184,-34.71882,11f3013a-0f88-44fa-9ca7-e4837b7a9e7f,02754055-7d4d-423e-8d5f-1571cb8941d5,65.52865,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.18108983,844.8464879,0.7526322649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-02-22,10:24:23,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,68.87054,1.43701478,2.18285887,1971.574603,147.2643641,11:00:00,5.64253,-1.67725,NA,-61.56655,4.65643,-3.03208,1.9087,0.19075,61.64702,-9.731534067,1.628514627,0.5857007432,2.30349,1.80292,1.41205,50,5.74549,-3.68826,-99.48346,0.39175,2.24277,20.19196,-30.41865,3b181161-3f45-4ab0-a29c-99d90115b957,02754055-7d4d-423e-8d5f-1571cb8941d5,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.78069322,649.0124931,0.3291848517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-02-22,10:24:37,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,65.00103,2.952752493,2.890548653,1974.624283,289.6709649,03:45:00,5.73244,-1.60714,3.48638,-74.93619,-2.4986,6.8701,2.33334,1.74735,58.99005,-10.66308536,4.148657259,0.6125666946,-2.51518,-2.25642,1.27101,50,5.9898,-4.95305,-93.92979,2.5572,-2.20366,16.79027,-34.151,3b3eefd8-f467-42a6-bb0c-f0ebcf9a9b18,02754055-7d4d-423e-8d5f-1571cb8941d5,61.53198,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.31741323,467.0832825,0.2365428636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-02-22,10:24:50,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,66.32115,3.341641133,2.740201415,1935.700306,273.9685393,03:15:00,5.66197,-1.61136,3.95322,-69.31235,-0.60349,8.19821,3.07938,1.68653,59.70322,-9.417306199,4.257707786,0.5965924837,-3.27051,-1.48238,1.3144,50,5.95162,-4.82851,-95.85412,3.56786,-2.96862,18.18393,-33.5196,f6234858-8be2-4fb5-8301-bb2d2bfa21c4,02754055-7d4d-423e-8d5f-1571cb8941d5,63.17954,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.8840386,439.2542002,0.2269226279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-02-22,10:25:04,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,67.68713,3.365672562,1.36294771,1973.631666,285.9998718,03:30:00,5.41686,-1.67561,3.7242,-69.71523,-3.97576,13.72115,2.83442,0.77305,61.5995,-9.350545015,3.881758948,0.583558642,-6.57041,-3.09369,1.51267,50,5.71682,-2.75868,-97.96881,3.58973,-6.30219,17.36621,-35.14145,8a1c2e7c-4444-4088-97c3-c718fd619a26,02754055-7d4d-423e-8d5f-1571cb8941d5,64.59066,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.8005439,-66.71325098,780.2418852,0.39533308,05:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-02-22,10:25:17,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,74.22854,2.2075082,2.288413923,1812.804999,121.9618569,10:00:00,5.49911,-1.72605,4.54709,-44.27649,8.00262,-12.92835,3.89402,-0.64404,67.85,-5.97696545,-0.1073595606,0.5203978419,7.40077,3.57458,1.51824,50,5.67489,-3.90535,-107.7589,2.78426,8.70355,18.69489,-27.97022,8c8c82d1-aa07-4203-bc08-57f1a9b6a9d8,02754055-7d4d-423e-8d5f-1571cb8941d5,72.43004,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147.8305635,-47.25178185,1230.491986,0.6787779084,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-02-22,10:25:29,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,75.10496,1.701847524,2.163659155,1910.199378,118.5319044,10:00:00,5.69064,-1.72106,4.23346,-40.35904,11.56971,-21.41014,3.94336,-1.45185,68.25383,-5.738383872,-1.794335074,0.5186511134,11.7366,5.49515,1.5216,50,5.82742,-3.41812,-108.96336,1.92286,14.02812,20.19027,-25.60599,8f6a2722-f9b7-4e2a-b41e-5513c94bbebe,02754055-7d4d-423e-8d5f-1571cb8941d5,72.67398,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.8932603,-40.12487622,1460.618039,0.7646416684,10:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-02-22,10:25:46,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,76.04115,-0.4145731748,3.515879488,1854.821281,124.2180493,10:15:00,5.60033,-1.46622,4.82872,-39.15085,10.13641,-14.98365,1.94807,0.58787,69.80228,-7.661688132,0.7291344557,0.5052877144,8.88914,5.4714,1.15913,50,5.53503,-6.32703,-110.40379,-1.99254,10.98001,19.51301,-25.41568,54587470-5038-4908-944c-c63193b40b60,02754055-7d4d-423e-8d5f-1571cb8941d5,74.59599,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.5523395,-29.71333189,1610.942339,0.8685162049,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-02-22,10:25:58,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,76.00944,2.228523465,1.573911564,2002.49591,130.5618363,10:15:00,5.75793,-1.56736,4.30832,-38.13193,12.92651,-15.1649,4.69316,-1.3398,68.24898,-4.857260622,-1.249362754,0.5142865973,8.41858,6.00882,1.42359,50,5.94778,-2.5367,-110.19117,3.05505,10.17786,22.63105,-24.90953,12fa77a8-bc84-4aed-adea-8bc269a5ac12,02754055-7d4d-423e-8d5f-1571cb8941d5,73.29073,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.5472694,-33.24707665,1674.715625,0.8363141298,11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-02-22,10:26:10,"Gaynor, Jared",1000283624,Left,NA,NA,NA,Warmup,NA,71.92734,0.7680413763,1.708278798,1987.467565,167.8897384,11:30:00,5.63522,-1.5348,NA,-53.75209,5.11008,-1.10748,1.90203,0.03214,66.30951,-8.833983695,1.509072359,0.5521912542,1.00554,2.32115,1.32588,50,5.66337,-3.06981,-104.29594,-0.57672,1.11143,16.96896,-29.60846,5f2d7082-f886-4bf3-9a77-4db68a61c9fd,02754055-7d4d-423e-8d5f-1571cb8941d5,NA,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.63067202,756.3812372,0.3805753867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
